candidate_id,source_raw_id,title,year,doi,url,source_channel,query_id,fulltext_status,pdf_url,landing_url,retrieval_note,pnce_decision,pnce_evidence,manual_review_note,crossref_title,crossref_venue,crossref_abstract,crossref_links,crossref_license,crossref_error,crossref_decision,crossref_reason,crossref_evidence
FT009,RAW116,Renewable energy-powered semi-closed greenhouse for sustainable crop production using model predictive control and machine learning for energy management,2022,10.1016/j.rser.2022.112790,https://doi.org/10.1016/j.rser.2022.112790,OpenAlex,Q3,metadata_only+landing_url,,https://doi.org/10.1016/j.rser.2022.112790,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Renewable energy-powered semi-closed greenhouse for sustainable crop production using model predictive control and machine learning for energy management,Renewable and Sustainable Energy Reviews,,https://api.elsevier.com/content/article/PII:S1364032122006748?httpAccept=text/xml; https://api.elsevier.com/content/article/PII:S1364032122006748?httpAccept=text/plain,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license; http://www.elsevier.com/open-access/userlicense/1.0/; https://doi.org/10.15223/policy-017; https://doi.org/10.15223/policy-037; https://doi.org/10.15223/policy-012; https://doi.org/10.15223/policy-029; https://doi.org/10.15223/policy-004,,exclude_fulltext,R05_review_or_secondary_study,P=Renewable energy-powered semi-closed greenhouse for sustainable crop production using model predictive control and machine learning for energy management. . Renewable and Sustainable Energy Reviews | N=missing | C=d semi-closed greenhouse for sustainable crop production using model predictive control and machine learning for energy management. . Renewable and Sustainable Energy Reviews | E=Renewable energy-powered semi-closed greenhouse for sustainable crop production using model predictive control and machine learning for energy management. . Renewable and Sustainable Energy Reviews
FT010,RAW117,A model predictive controller for precision irrigation using discrete lagurre networks,2021,10.1016/j.compag.2020.105953,https://doi.org/10.1016/j.compag.2020.105953,OpenAlex,Q3,metadata_only+landing_url,,https://doi.org/10.1016/j.compag.2020.105953,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,A model predictive controller for precision irrigation using discrete lagurre networks,Computers and Electronics in Agriculture,,https://api.elsevier.com/content/article/PII:S0168169920331586?httpAccept=text/xml; https://api.elsevier.com/content/article/PII:S0168169920331586?httpAccept=text/plain,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license,,needs_manual_fulltext,R08_crossref_text_insufficient,P=sion irrigation using discrete lagurre networks. . Computers and Electronics in Agriculture | N=A model predictive controller for precision irrigation using discrete lagurre networks. . Computers and Electronics in Agriculture | C=A model predictive controller for precision irrigation using discrete lagurre networks. . Computers and Electronics in Agriculture | E=missing
FT022,RAW165,Zoning irrigation smart system based on fuzzy control technology and IoT for water and energy saving,2021,10.1016/j.jclepro.2021.127001,https://doi.org/10.1016/j.jclepro.2021.127001,OpenAlex,Q5,metadata_only+landing_url,,https://doi.org/10.1016/j.jclepro.2021.127001,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Zoning irrigation smart system based on fuzzy control technology and IoT for water and energy saving,Journal of Cleaner Production,,https://api.elsevier.com/content/article/PII:S0959652621012208?httpAccept=text/xml; https://api.elsevier.com/content/article/PII:S0959652621012208?httpAccept=text/plain,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license; https://doi.org/10.15223/policy-017; https://doi.org/10.15223/policy-037; https://doi.org/10.15223/policy-012; https://doi.org/10.15223/policy-029; https://doi.org/10.15223/policy-004,,include_after_crossref_metadata,A02_PNCE_all_present_in_crossref_text,P=Zoning irrigation smart system based on fuzzy control technology and IoT for water and energy saving. . Journal of Cleaner Production | N=Zoning irrigation smart system based on fuzzy control technology and IoT for water and energy saving. . Journal of Cleaner Production | C=Zoning irrigation smart system based on fuzzy control technology and IoT for water and energy saving. . Journal of Cleaner Production | E=irrigation smart system based on fuzzy control technology and IoT for water and energy saving. . Journal of Cleaner Production
FT024,RAW167,Smart platform based on IoT and WSN for monitoring and control of a greenhouse in the context of precision agriculture,2023,10.1016/j.iot.2023.100830,https://doi.org/10.1016/j.iot.2023.100830,OpenAlex,Q5,metadata_only+landing_url,,https://doi.org/10.1016/j.iot.2023.100830,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Smart platform based on IoT and WSN for monitoring and control of a greenhouse in the context of precision agriculture,Internet of Things,,https://api.elsevier.com/content/article/PII:S2542660523001531?httpAccept=text/xml; https://api.elsevier.com/content/article/PII:S2542660523001531?httpAccept=text/plain,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license; https://doi.org/10.15223/policy-017; https://doi.org/10.15223/policy-037; https://doi.org/10.15223/policy-012; https://doi.org/10.15223/policy-029; https://doi.org/10.15223/policy-004,,needs_manual_fulltext,R08_crossref_text_insufficient,P=and WSN for monitoring and control of a greenhouse in the context of precision agriculture. . Internet of Things | N=Smart platform based on IoT and WSN for monitoring and control of a greenhouse in the context of precision agriculture. . Internet of Things | C=Smart platform based on IoT and WSN for monitoring and control of a greenhouse in the context of precision agriculture. . Internet of Things | E=missing
FT031,RAW175,"Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production",2016,10.1007/s00271-016-0511-y,https://doi.org/10.1007/s00271-016-0511-y,OpenAlex,Q5,metadata_only+landing_url,,https://doi.org/10.1007/s00271-016-0511-y,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,"Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production",Irrigation Science,,http://link.springer.com/content/pdf/10.1007/s00271-016-0511-y.pdf; http://link.springer.com/article/10.1007/s00271-016-0511-y/fulltext.html; http://link.springer.com/content/pdf/10.1007/s00271-016-0511-y; http://link.springer.com/content/pdf/10.1007/s00271-016-0511-y.pdf,http://www.springer.com/tdm; http://www.springer.com/tdm,,needs_manual_fulltext,R08_crossref_text_insufficient,"P=Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production. . Irrigation Science | N=missing | C=Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production. . Irrigation Science | E=Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production. . Irrigation Science"
FT036,RAW181,Design of Smart Irrigation System in the Greenhouse Using WSN and Renewable Energies,2023,10.1007/978-3-031-21216-1_14,https://doi.org/10.1007/978-3-031-21216-1_14,OpenAlex,Q5,metadata_only+landing_url,,https://doi.org/10.1007/978-3-031-21216-1_14,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Design of Smart Irrigation System in the Greenhouse Using WSN and Renewable Energies,Lecture Notes in Networks and Systems,,https://link.springer.com/content/pdf/10.1007/978-3-031-21216-1_14,https://www.springernature.com/gp/researchers/text-and-data-mining; https://www.springernature.com/gp/researchers/text-and-data-mining,,needs_manual_fulltext,R08_crossref_text_insufficient,P=Design of Smart Irrigation System in the Greenhouse Using WSN and Renewable Energies. . Lecture Notes in Networks and Systems | N=Design of Smart Irrigation System in the Greenhouse Using WSN and Renewable Energies. . Lecture Notes in Networks and Systems | C=missing | E=missing
FT038,RAW189,Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network,2022,10.1007/978-3-031-14748-7_5,https://doi.org/10.1007/978-3-031-14748-7_5,OpenAlex,Q5,metadata_only+landing_url,,https://doi.org/10.1007/978-3-031-14748-7_5,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network,Studies in Computational Intelligence,,https://link.springer.com/content/pdf/10.1007/978-3-031-14748-7_5,https://www.springer.com/tdm; https://www.springer.com/tdm,,needs_manual_fulltext,R08_crossref_text_insufficient,P=Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network. . Studies in Computational Intelligence | N=Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network. . Studies in Computational Intelligence | C=missing | E=Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network. . Studies in Computational Intelligence
FT040,RAW192,A Comprehensive IoT edge based smart irrigation system for tomato cultivation,2024,10.1016/j.iot.2024.101356,https://doi.org/10.1016/j.iot.2024.101356,OpenAlex,Q6,metadata_only+landing_url,,https://doi.org/10.1016/j.iot.2024.101356,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,A Comprehensive IoT edge based smart irrigation system for tomato cultivation,Internet of Things,,https://api.elsevier.com/content/article/PII:S254266052400297X?httpAccept=text/xml; https://api.elsevier.com/content/article/PII:S254266052400297X?httpAccept=text/plain,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license; https://doi.org/10.15223/policy-017; https://doi.org/10.15223/policy-037; https://doi.org/10.15223/policy-012; https://doi.org/10.15223/policy-029; https://doi.org/10.15223/policy-004,,needs_manual_fulltext,R08_crossref_text_insufficient,P=A Comprehensive IoT edge based smart irrigation system for tomato cultivation. . Internet of Things | N=A Comprehensive IoT edge based smart irrigation system for tomato cultivation. . Internet of Things | C=missing | E=missing
FT062,RAW262,IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems,2025,10.1016/j.iot.2025.101710,https://doi.org/10.1016/j.iot.2025.101710,OpenAlex,Q8,metadata_only+landing_url,,https://doi.org/10.1016/j.iot.2025.101710,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems,Internet of Things,,https://api.elsevier.com/content/article/PII:S2542660525002240?httpAccept=text/xml; https://api.elsevier.com/content/article/PII:S2542660525002240?httpAccept=text/plain,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license; https://doi.org/10.15223/policy-017; https://doi.org/10.15223/policy-037; https://doi.org/10.15223/policy-012; https://doi.org/10.15223/policy-029; https://doi.org/10.15223/policy-004,,needs_manual_fulltext,R08_crossref_text_insufficient,P=IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems. . Internet of Things | N=IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems. . Internet of Things | C=IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems. . Internet of Things | E=missing
FT064,RAW264,Monitoring of Smart Greenhouse Using Internet of Things (IoT),2024,10.1007/978-981-99-9610-0_19,https://doi.org/10.1007/978-981-99-9610-0_19,OpenAlex,Q8,metadata_only+landing_url,,https://doi.org/10.1007/978-981-99-9610-0_19,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Monitoring of Smart Greenhouse Using Internet of Things (IoT),Lecture Notes in Civil Engineering,,https://link.springer.com/content/pdf/10.1007/978-981-99-9610-0_19,https://www.springernature.com/gp/researchers/text-and-data-mining; https://www.springernature.com/gp/researchers/text-and-data-mining,,needs_manual_fulltext,R08_crossref_text_insufficient,P=Monitoring of Smart Greenhouse Using Internet of Things (IoT). . Lecture Notes in Civil Engineering | N=Monitoring of Smart Greenhouse Using Internet of Things (IoT). . Lecture Notes in Civil Engineering | C=missing | E=missing
