id,title,year,venue,doi_url,prisma_status,pnce_status,metadata_status,replacement_key,verification_note
S01,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment,2025,Smart Agricultural Technology,https://doi.org/10.1016/j.atech.2025.101071,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S02,Enhancing greenhouse efficiency: Integrating IoT and reinforcement learning for optimized climate control,2024,Sensors,https://doi.org/10.3390/s24248109,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified replacement,platero2024enhancing,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S03,RL-Guided MPC for Autonomous Greenhouse Control,2025,IFAC-PapersOnLine,https://doi.org/10.1016/j.ifacol.2025.11.829,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S04,Event-triggered Predictive Control for Networked Systems with Communication Delays Compensation,2014,Automatica,10.1109/IECON.2014.7049044,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified replacement,tang2024predictive,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S05,Greenhouse climate management: an optimal control approach,1994,Wageningen University and Research,,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified replacement,vanhenten1994greenhouse,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S06,Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong Delta,2021,Agronomy for Sustainable Development,https://doi.org/10.1007/s13593-021-00705-z,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified replacement,pham2021using,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S07,Reinforcement Learning versus Model Predictive Control on greenhouse climate control,2023,Computers and Electronics in Agriculture,10.1016/j.compag.2023.108372,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified replacement,caceres2023mpc,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S08,Reinforcement learning-based model predictive control for greenhouse climate control,2025,Smart Agricultural Technology,https://doi.org/10.1016/j.atech.2024.100751,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S09,Efficient energy management and temperature control of a high-tech greenhouse using an improved data-driven model predictive control,2025,Energy Conversion and Management: X,https://doi.org/10.1016/j.ecmx.2025.100939,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S10,Predictive control for greenhouse temperature and humidity and energy optimization by improved NMPC objective function algorithm,2024,International Journal of Agricultural and Biological Engineering,https://doi.org/10.25165/j.ijabe.20241705.8241,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S11,Learning-based multi-agent MPC for irrigation scheduling,2024,Control Engineering Practice,https://doi.org/10.1016/j.conengprac.2024.105908,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S12,Robust sample-based model predictive control of a greenhouse system with parametric uncertainty,2022,IFAC-PapersOnLine,https://doi.org/10.1016/j.ifacol.2022.11.135,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S13,Smart Irrigation System Considering Optimal Energy Management Based on Model Predictive Control (MPC),2022,Applied Sciences,https://doi.org/10.3390/app12094235,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S14,Robust model predictive control for greenhouse temperature based on particle swarm optimization,2018,Information Processing in Agriculture,https://doi.org/10.1016/j.inpa.2018.04.003,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
