id,year,title,tier,tier_reason,record_role,evidence_tier,rob_overall,article_type_flag,retrieval_routes_attempted,p1_application,n1_protocol,c1_strategy,c2_trigger,c3_architecture,evidence_type,comparator_present
S01,2025,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment,tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,8,,,,,,,
S02,2024,Enhancing greenhouse efficiency: Integrating IoT and reinforcement learning for optimized climate control,tier1_core,fulltext_read_and_coded,analytical_primary,E2,high,primary_study,0,greenhouse_microclimate,WiFi,RL_ML,not_stated,cloud,greenhouse_or_plot_experiment,none
S03,2025,RL-Guided MPC for Autonomous Greenhouse Control,tier1_core,fulltext_read_and_coded,analytical_primary,E2,high,primary_study,3,greenhouse_microclimate,none_no_network,MPC,not_stated,simulation_only,simulation_only,within_model_comparison
S04,2014,Event-triggered Predictive Control for Networked Systems with Communication Delays Compensation,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,3,,,,,,,
S05,1994,Greenhouse climate management: an optimal control approach,tier1_core,fulltext_read_and_coded,analytical_primary,E3,high,primary_study,3,greenhouse_microclimate,none_no_network,optimal_control,not_stated,not_stated,greenhouse_or_plot_experiment,none
S06,2021,Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong Delta,tier1_core,fulltext_read_and_coded,analytical_primary,E3,some_concerns,primary_study,1,irrigation_outdoor,LoRa_LoRaWAN,on_off_threshold,manual_remote,cloud,field_deployment,concurrent_experimental
S07,2023,Reinforcement Learning versus Model Predictive Control on greenhouse climate control,tier1_core,fulltext_read_and_coded,analytical_primary,E3,some_concerns,primary_study,0,greenhouse_microclimate,none_no_network,MPC,not_stated,simulation_only,simulation_only,concurrent_experimental
S08,2025,Reinforcement learning-based model predictive control for greenhouse climate control,tier1_core,fulltext_read_and_coded,analytical_primary,E3,some_concerns,primary_study,0,greenhouse_microclimate,none_no_network,MPC,not_stated,simulation_only,simulation_only,within_model_comparison
S09,2025,Efficient energy management and temperature control of a high-tech greenhouse using an improved data-driven model predic,tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,8,,,,,,,
S10,2024,Predictive control for greenhouse temperature and humidity and energy optimization by improved NMPC objective function a,tier1_core,fulltext_read_and_coded,analytical_primary,E3,high,primary_study,0,greenhouse_microclimate,none_no_network,MPC,not_stated,not_stated,simulation_only,within_model_comparison
