candidate_id,source_raw_id,title,year,doi,url,source_channel,query_id,fulltext_status,pdf_url,landing_url,retrieval_note,pnce_decision,pnce_evidence,manual_review_note,crossref_title,crossref_venue,crossref_abstract,crossref_links,crossref_license,crossref_error,crossref_decision,crossref_reason,crossref_evidence,landing_final_url,landing_error,landing_text_excerpt,landing_decision,landing_reason,landing_evidence
FT010,RAW117,A model predictive controller for precision irrigation using discrete lagurre networks,2021,10.1016/j.compag.2020.105953,https://doi.org/10.1016/j.compag.2020.105953,OpenAlex,Q3,metadata_only+landing_url,,https://doi.org/10.1016/j.compag.2020.105953,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,A model predictive controller for precision irrigation using discrete lagurre networks,Computers and Electronics in Agriculture,,https://api.elsevier.com/content/article/PII:S0168169920331586?httpAccept=text/xml; https://api.elsevier.com/content/article/PII:S0168169920331586?httpAccept=text/plain,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license,,needs_manual_fulltext,R08_crossref_text_insufficient,P=sion irrigation using discrete lagurre networks. . Computers and Electronics in Agriculture | N=A model predictive controller for precision irrigation using discrete lagurre networks. . Computers and Electronics in Agriculture | C=A model predictive controller for precision irrigation using discrete lagurre networks. . Computers and Electronics in Agriculture | E=missing,https://linkinghub.elsevier.com/retrieve/pii/S0168169920331586,,Redirecting,needs_manual_fulltext,R10_landing_text_insufficient,P=A model predictive controller for precision irrigation using discrete lagurre networks. Redirecting | N=A model predictive controller for precision irrigation using discrete lagurre networks. Redirecting | C=A model predictive controller for precision irrigation using discrete lagurre networks. Redirecting | E=missing
FT024,RAW167,Smart platform based on IoT and WSN for monitoring and control of a greenhouse in the context of precision agriculture,2023,10.1016/j.iot.2023.100830,https://doi.org/10.1016/j.iot.2023.100830,OpenAlex,Q5,metadata_only+landing_url,,https://doi.org/10.1016/j.iot.2023.100830,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Smart platform based on IoT and WSN for monitoring and control of a greenhouse in the context of precision agriculture,Internet of Things,,https://api.elsevier.com/content/article/PII:S2542660523001531?httpAccept=text/xml; https://api.elsevier.com/content/article/PII:S2542660523001531?httpAccept=text/plain,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license; https://doi.org/10.15223/policy-017; https://doi.org/10.15223/policy-037; https://doi.org/10.15223/policy-012; https://doi.org/10.15223/policy-029; https://doi.org/10.15223/policy-004,,needs_manual_fulltext,R08_crossref_text_insufficient,P=and WSN for monitoring and control of a greenhouse in the context of precision agriculture. . Internet of Things | N=Smart platform based on IoT and WSN for monitoring and control of a greenhouse in the context of precision agriculture. . Internet of Things | C=Smart platform based on IoT and WSN for monitoring and control of a greenhouse in the context of precision agriculture. . Internet of Things | E=missing,https://linkinghub.elsevier.com/retrieve/pii/S2542660523001531,,Redirecting,needs_manual_fulltext,R10_landing_text_insufficient,P=and WSN for monitoring and control of a greenhouse in the context of precision agriculture. Redirecting | N=Smart platform based on IoT and WSN for monitoring and control of a greenhouse in the context of precision agriculture. Redirecting | C=Smart platform based on IoT and WSN for monitoring and control of a greenhouse in the context of precision agriculture. Redirecting | E=missing
FT031,RAW175,"Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production",2016,10.1007/s00271-016-0511-y,https://doi.org/10.1007/s00271-016-0511-y,OpenAlex,Q5,metadata_only+landing_url,,https://doi.org/10.1007/s00271-016-0511-y,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,"Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production",Irrigation Science,,http://link.springer.com/content/pdf/10.1007/s00271-016-0511-y.pdf; http://link.springer.com/article/10.1007/s00271-016-0511-y/fulltext.html; http://link.springer.com/content/pdf/10.1007/s00271-016-0511-y; http://link.springer.com/content/pdf/10.1007/s00271-016-0511-y.pdf,http://www.springer.com/tdm; http://www.springer.com/tdm,,needs_manual_fulltext,R08_crossref_text_insufficient,"P=Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production. . Irrigation Science | N=missing | C=Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production. . Irrigation Science | E=Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production. . Irrigation Science",https://link.springer.com/article/10.1007/s00271-016-0511-y?error=cookies_not_supported&code=b021b1ff-67db-4a1f-9c52-3776fe98b977,,"Irrigation Science - Advanced wireless irrigation sensor networks that can monitor and control irrigation are only recently available commercially, but on-farm research has found a number of... Advanced wireless irrigation sensor networks that can monitor and control irrigation are only recently available commercially, but on-farm research has found a number of advantages compared with current irrigation practices including reduced water application, disease incidence, production time and labor, together with increased profitability. We examined the effects of wireless sensor networks to precisely control irrigation based on substrate moisture in a 0.15-ha greenhouse producing cut-flower snapdragons (Antirrhinum majus). We calculated changes in yield, production time, quality, cost, revenue and profit using grower data on production, expenditures and sales, which included 3&nbsp;years of data before and after implementation of sensor irrigation networks. Sensor-based irrigation was associated with a 62&nbsp;% ($65,173 or $434,487&nbsp;ha−1) increase in revenue and a 65&nbsp;% ($35,327 or $325,513&nbsp;ha−1) increase in profit per year. Sensor-based irrigation was also associated wi",include_after_landing_text,A03_PNCE_all_present_in_landing_text,"P=Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production. Irrigation Science - Advanced wireless irrigation sensor networks that can monitor and control irrigation are only recently available commercially | N=me and labor, together with increased profitability. We examined the effects of wireless sensor networks to precisely control irrigation based on substrate moisture in a 0.15-ha greenhouse producing cut-flower snapdragons (Antirrhinum majus). We calculated changes in yield, production time, quality, | C=Yield, quality and profitability of sensor-controlled irrigation: a case study of snapdragon (Antirrhinum majus L.) production. Irrigation Science - Advanced wireless irrigation sensor networks that can monitor and control irrigation are only recently available c | E=so reduced, likely due to less frequent irrigation using sensor networks. These results are in line with other benefits we have seen by installing sensor networks in other types of ornamental operations. Advanced wireless irrigation sensor networks that can monitor and control irrigation are only re"
FT036,RAW181,Design of Smart Irrigation System in the Greenhouse Using WSN and Renewable Energies,2023,10.1007/978-3-031-21216-1_14,https://doi.org/10.1007/978-3-031-21216-1_14,OpenAlex,Q5,metadata_only+landing_url,,https://doi.org/10.1007/978-3-031-21216-1_14,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Design of Smart Irrigation System in the Greenhouse Using WSN and Renewable Energies,Lecture Notes in Networks and Systems,,https://link.springer.com/content/pdf/10.1007/978-3-031-21216-1_14,https://www.springernature.com/gp/researchers/text-and-data-mining; https://www.springernature.com/gp/researchers/text-and-data-mining,,needs_manual_fulltext,R08_crossref_text_insufficient,P=Design of Smart Irrigation System in the Greenhouse Using WSN and Renewable Energies. . Lecture Notes in Networks and Systems | N=Design of Smart Irrigation System in the Greenhouse Using WSN and Renewable Energies. . Lecture Notes in Networks and Systems | C=missing | E=missing,https://link.springer.com/chapter/10.1007/978-3-031-21216-1_14?error=cookies_not_supported&code=f146b24f-f2a0-4359-8e27-779f8bec12ef,,"Water is becoming a high demand resource in most of the countries due to the increasing growth of population and industries. To ensure that water does not cause problems to the crops, sensors can be employed to guarantee the quality of the water used for irrigation.... Water is becoming a high demand resource in most of the countries due to the increasing growth of population and industries. To ensure that water does not cause problems to the crops, sensors can be employed to guarantee the quality of the water used for irrigation.... Water is becoming a high demand resource in most of the countries due to the increasing growth of population and industries. To ensure that water does not cause problems to the crops, sensors can be employed to guarantee the quality of the water used for irrigation.... Water is becoming a high demand resource in most of the countries due to the increasing growth of population and industries. To ensure that water does not cause problems to the crops, sensors can be employed to guarantee the quality of the water used for irrigation....",needs_manual_fulltext,R10_landing_text_insufficient,"P=Design of Smart Irrigation System in the Greenhouse Using WSN and Renewable Energies. Water is becoming a high demand resource in most of the countries due to the increasing growth of population and industries. To ensure that water does | N=Design of Smart Irrigation System in the Greenhouse Using WSN and Renewable Energies. Water is becoming a high demand resource in most of the countries due to the increasing growth of population and industries. To ensure that water does not cause problems to the crops, sensors | C=missing | E=of Smart Irrigation System in the Greenhouse Using WSN and Renewable Energies. Water is becoming a high demand resource in most of the countries due to the increasing growth of population and industries. To ensure that water does not cause problems to the crops, sensors can be employed to guarantee"
FT038,RAW189,Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network,2022,10.1007/978-3-031-14748-7_5,https://doi.org/10.1007/978-3-031-14748-7_5,OpenAlex,Q5,metadata_only+landing_url,,https://doi.org/10.1007/978-3-031-14748-7_5,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network,Studies in Computational Intelligence,,https://link.springer.com/content/pdf/10.1007/978-3-031-14748-7_5,https://www.springer.com/tdm; https://www.springer.com/tdm,,needs_manual_fulltext,R08_crossref_text_insufficient,P=Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network. . Studies in Computational Intelligence | N=Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network. . Studies in Computational Intelligence | C=missing | E=Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network. . Studies in Computational Intelligence,https://link.springer.com/chapter/10.1007/978-3-031-14748-7_5?error=cookies_not_supported&code=6077b9ff-f1fb-4c04-896c-a1af241688dd,,"A greenhouse is an artificial structure enclosed inside which plants requiring regulated climatic conditions are grown. This environment helps in protecting the crops from the outside weather, pests, and disease. Consequently, the risk of pests and insects attacking... A greenhouse is an artificial structure enclosed inside which plants requiring regulated climatic conditions are grown. This environment helps in protecting the crops from the outside weather, pests, and disease. Consequently, the risk of pests and insects attacking... A greenhouse is an artificial structure enclosed inside which plants requiring regulated climatic conditions are grown. This environment helps in protecting the crops from the outside weather, pests, and disease. Consequently, the risk of pests and insects attacking... A greenhouse is an artificial structure enclosed inside which plants requiring regulated climatic conditions are grown. This environment helps in protecting the crops from the outside weather, pests, and disease. Consequently, the risk of pests and insects attacking...",needs_manual_fulltext,R10_landing_text_insufficient,"P=Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network. A greenhouse is an artificial structure enclosed inside which plants requiring regulated climatic conditions are grown. This environment helps in pr | N=Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network. A greenhouse is an artificial structure enclosed inside which plants requiring regulated climatic conditions are grown. This environment helps in protecting the crops from the outside weather, pe | C=missing | E=Monitoring Plant Growth in a Greenhouse Using IoT with the Energy-Efficient Wireless Sensor Network. A greenhouse is an artificial structure enclosed inside which plants requiring regulated climatic conditions are grown. This environment helps in protecting the crops from the ou"
FT040,RAW192,A Comprehensive IoT edge based smart irrigation system for tomato cultivation,2024,10.1016/j.iot.2024.101356,https://doi.org/10.1016/j.iot.2024.101356,OpenAlex,Q6,metadata_only+landing_url,,https://doi.org/10.1016/j.iot.2024.101356,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,A Comprehensive IoT edge based smart irrigation system for tomato cultivation,Internet of Things,,https://api.elsevier.com/content/article/PII:S254266052400297X?httpAccept=text/xml; https://api.elsevier.com/content/article/PII:S254266052400297X?httpAccept=text/plain,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license; https://doi.org/10.15223/policy-017; https://doi.org/10.15223/policy-037; https://doi.org/10.15223/policy-012; https://doi.org/10.15223/policy-029; https://doi.org/10.15223/policy-004,,needs_manual_fulltext,R08_crossref_text_insufficient,P=A Comprehensive IoT edge based smart irrigation system for tomato cultivation. . Internet of Things | N=A Comprehensive IoT edge based smart irrigation system for tomato cultivation. . Internet of Things | C=missing | E=missing,https://linkinghub.elsevier.com/retrieve/pii/S254266052400297X,,Redirecting,needs_manual_fulltext,R10_landing_text_insufficient,P=A Comprehensive IoT edge based smart irrigation system for tomato cultivation. Redirecting | N=A Comprehensive IoT edge based smart irrigation system for tomato cultivation. Redirecting | C=missing | E=missing
FT062,RAW262,IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems,2025,10.1016/j.iot.2025.101710,https://doi.org/10.1016/j.iot.2025.101710,OpenAlex,Q8,metadata_only+landing_url,,https://doi.org/10.1016/j.iot.2025.101710,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems,Internet of Things,,https://api.elsevier.com/content/article/PII:S2542660525002240?httpAccept=text/xml; https://api.elsevier.com/content/article/PII:S2542660525002240?httpAccept=text/plain,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license; https://doi.org/10.15223/policy-017; https://doi.org/10.15223/policy-037; https://doi.org/10.15223/policy-012; https://doi.org/10.15223/policy-029; https://doi.org/10.15223/policy-004,,needs_manual_fulltext,R08_crossref_text_insufficient,P=IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems. . Internet of Things | N=IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems. . Internet of Things | C=IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems. . Internet of Things | E=missing,https://linkinghub.elsevier.com/retrieve/pii/S2542660525002240,,Redirecting,needs_manual_fulltext,R10_landing_text_insufficient,P=IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems. Redirecting | N=IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems. Redirecting | C=IoT-based monitoring and control for optimized plant growth in smart greenhouses using soil and hydroponic systems. Redirecting | E=missing
FT064,RAW264,Monitoring of Smart Greenhouse Using Internet of Things (IoT),2024,10.1007/978-981-99-9610-0_19,https://doi.org/10.1007/978-981-99-9610-0_19,OpenAlex,Q8,metadata_only+landing_url,,https://doi.org/10.1007/978-981-99-9610-0_19,HTTP Error 422: Unprocessable Entity,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Monitoring of Smart Greenhouse Using Internet of Things (IoT),Lecture Notes in Civil Engineering,,https://link.springer.com/content/pdf/10.1007/978-981-99-9610-0_19,https://www.springernature.com/gp/researchers/text-and-data-mining; https://www.springernature.com/gp/researchers/text-and-data-mining,,needs_manual_fulltext,R08_crossref_text_insufficient,P=Monitoring of Smart Greenhouse Using Internet of Things (IoT). . Lecture Notes in Civil Engineering | N=Monitoring of Smart Greenhouse Using Internet of Things (IoT). . Lecture Notes in Civil Engineering | C=missing | E=missing,https://link.springer.com/chapter/10.1007/978-981-99-9610-0_19?error=cookies_not_supported&code=30805ce1-c51e-4d5d-ae26-e81a8a1ebbbd,,"Greenhouse is the place where the plants are grown in a controlled manner. Monitoring the greenhouse environment is necessary to maintain the optimal conditions for plant growth. Using wireless sensor networks, the monitoring of the greenhouse environment can be not... Greenhouse is the place where the plants are grown in a controlled manner. Monitoring the greenhouse environment is necessary to maintain the optimal conditions for plant growth. Using wireless sensor networks, the monitoring of the greenhouse environment can be not... Greenhouse is the place where the plants are grown in a controlled manner. Monitoring the greenhouse environment is necessary to maintain the optimal conditions for plant growth. Using wireless sensor networks, the monitoring of the greenhouse environment can be not... Greenhouse is the place where the plants are grown in a controlled manner. Monitoring the greenhouse environment is necessary to maintain the optimal conditions for plant growth. Using wireless sensor networks, the monitoring of the greenhouse environment can be not...",needs_manual_fulltext,R10_landing_text_insufficient,"P=Monitoring of Smart Greenhouse Using Internet of Things (IoT). Greenhouse is the place where the plants are grown in a controlled manner. Monitoring the greenhouse environment is necessary to maintain the optimal conditions for plant growth | N=ronment is necessary to maintain the optimal conditions for plant growth. Using wireless sensor networks, the monitoring of the greenhouse environment can be not... Greenhouse is the place where the plants are grown in a controlled manner. Monitoring the greenhouse environment is necessary to mainta | C=ternet of Things (IoT). Greenhouse is the place where the plants are grown in a controlled manner. Monitoring the greenhouse environment is necessary to maintain the optimal conditions for plant growth. Using wireless sensor networks, the monitoring of the greenhouse environment can be not... Greenh | E=missing"
FT087,RAW335,Energy-Efficient and Secure Routing in WSN-IoT for Smart Agriculture using Hybrid Optimization,2025,,,local_paper_list,LOCAL,metadata_only+landing_url,,https://doi.org/10.1016/j.future.2013.01.010,metadata_retrieved,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Energy-Efficient and Secure Routing in WSN-IoT for Smart Agriculture using Hybrid Optimization,,,,,,needs_manual_fulltext,R09_crossref_no_abstract,Crossref did not provide abstract; landing/PDF manual reading required.,https://linkinghub.elsevier.com/retrieve/pii/S0167739X13000241,,Redirecting,needs_manual_fulltext,R10_landing_text_insufficient,P=Energy-Efficient and Secure Routing in WSN-IoT for Smart Agriculture using Hybrid Optimization. Redirecting | N=Energy-Efficient and Secure Routing in WSN-IoT for Smart Agriculture using Hybrid Optimization. Redirecting | C=missing | E=Energy-Efficient and Secure Routing in WSN-IoT for Smart Agriculture using Hybrid Optimization. Redirecting
FT089,RAW338,Internet of Things (IoT) and Agricultural Unmanned Aerial Vehicles (UAVs) in Smart Farming,2025,,,local_paper_list,LOCAL,metadata_only+landing_url,,https://doi.org/10.1016/j.iot.2020.100187,metadata_retrieved,needs_manual_fulltext,No OpenAlex abstract available; use landing/PDF URL for manual reading.,R07_no_abstract_available_for_safe_decision,Internet of Things (IoT) and Agricultural Unmanned Aerial Vehicles (UAVs) in Smart Farming,,,,,,needs_manual_fulltext,R09_crossref_no_abstract,Crossref did not provide abstract; landing/PDF manual reading required.,https://linkinghub.elsevier.com/retrieve/pii/S2542660520300238,,Redirecting,needs_manual_fulltext,R10_landing_text_insufficient,P=Internet of Things (IoT) and Agricultural Unmanned Aerial Vehicles (UAVs) in Smart Farming. Redirecting | N=Internet of Things (IoT) and Agricultural Unmanned Aerial Vehicles (UAVs) in Smart Farming. Redirecting | C=missing | E=missing
