id,p1_application,p2_dynamics_model,p3_time_constant,n1_protocol,n2_latency,n3_packet_loss,c1_strategy,c2_trigger,c3_architecture,e1_control_quality,e2_network_resource,e3_energy,evidence_type,comparator_present,article_type_flag,fields_with_locator,basis_p1_application,basis_p2_dynamics_model,basis_p3_time_constant,basis_n1_protocol,basis_n2_latency,basis_n3_packet_loss,basis_c1_strategy,basis_c2_trigger,basis_c3_architecture,basis_e1_control_quality,basis_e2_network_resource,basis_e3_energy,basis_evidence_type,basis_comparator_present,basis_article_type_flag
S02,greenhouse_microclimate,data_driven,sampling intervals (up to 60 min,WiFi,not_reported,not_reported,RL_ML,not_stated,cloud,RMSE and MAE values,not_reported,energy efficiency and reduce operational costs in greenhouses,greenhouse_or_plot_experiment,none,primary_study,9,rule,rule,rule,rule,absent,absent,adjudicated,absent,rule,rule,absent,rule,adjudicated,rule_no_locator,rule_no_locator
S03,greenhouse_microclimate,data_driven,not_stated,none_no_network,not_reported,not_reported,MPC,not_stated,simulation_only,dry weight (kg m−2 ),not_reported,not_reported,simulation_only,within_model_comparison,primary_study,8,rule,rule,absent,rule,absent,absent,rule,absent,rule,rule,absent,absent,rule,rule,rule_no_locator
S05,greenhouse_microclimate,higher_order,time constants whose presence cause the system to be more,none_no_network,not_reported,not_reported,optimal_control,not_stated,not_stated,dry weight is considered to be the major,not_reported,energy consumption amounts to approximately 15% of the total,greenhouse_or_plot_experiment,none,primary_study,8,rule,rule,rule,rule,absent,absent,rule,absent,absent,rule,absent,rule,rule,rule_no_locator,rule_no_locator
S06,irrigation_outdoor,none_stated,not_stated,LoRa_LoRaWAN,not_reported,not_reported,on_off_threshold,manual_remote,cloud,water savings over manual alternate wetting and drying,not_reported,not_reported,field_deployment,concurrent_experimental,primary_study,9,rule,absent,absent,rule,absent,absent,adjudicated,adjudicated,rule,rule,absent,absent,rule,rule,rule
S07,greenhouse_microclimate,data_driven,not_stated,none_no_network,not_reported,not_reported,MPC,not_stated,simulation_only,not_reported,not_reported,"energy consumption are considered as in (3), but",simulation_only,concurrent_experimental,primary_study,8,rule,rule,absent,rule,absent,absent,rule,absent,rule,absent,absent,rule,rule,rule,rule_no_locator
S08,greenhouse_microclimate,data_driven,not_stated,none_no_network,not_reported,not_reported,MPC,not_stated,simulation_only,dry weight to total crop dry weight),not_reported,energy consumption,simulation_only,within_model_comparison,primary_study,9,rule,rule,absent,rule,absent,absent,rule,absent,rule,rule,absent,rule,rule,rule,rule_no_locator
S10,greenhouse_microclimate,data_driven,sampling interval was set to 5 min,none_no_network,not_reported,not_reported,MPC,not_stated,not_stated,overshoot,not_reported,energy consumption,simulation_only,within_model_comparison,primary_study,9,rule,rule,rule,rule,absent,absent,rule,absent,absent,rule,absent,rule,rule,rule,rule_no_locator
S13,irrigation_outdoor,higher_order,not_stated,none_no_network,not_reported,not_reported,MPC,not_stated,standalone_embedded,not_reported,not_reported,energy consumption and optimizes,simulation_only,none,primary_study,6,rule,rule,absent,rule,absent,absent,rule,absent,rule,absent,absent,rule,rule_no_locator,rule_no_locator,rule_no_locator
S16,irrigation_outdoor,higher_order,sampling period of 10 min,ZigBee_802154,not_reported,not_reported,STC_self_triggered,self_triggered,standalone_embedded,water savings while growing healthy crops,reduce the number of messages in the network by transmitting sensor data only when releva,"power consumption up to 20%, while still accomplishing the system control obj",simulation_only,within_model_comparison,primary_study,11,rule,rule,rule,rule,absent,absent,adjudicated,rule,rule,rule,rule,rule,rule_no_locator,rule,rule_no_locator
S18,ncs_generic_nonagricultural,nonlinear,not_stated,none_no_network,not_reported,not_reported,MPC,self_triggered,simulation_only,overshoot constant C ≥ 1 and decay rate γ > 0,reducing the number of samples is pursued,not_reported,simulation_only,within_model_comparison,primary_study,10,rule,rule,absent,rule,absent,absent,rule,rule,rule,rule,rule,absent,rule,rule,rule_no_locator
S20,not_stated,none_stated,sampling period is set as T = 0.2s,none_no_network,not_reported,not_reported,MPC,self_triggered,not_stated,not_reported,not_reported,not_reported,simulation_only,none,primary_study,5,absent,absent,rule,rule,absent,absent,rule,rule,absent,absent,absent,absent,rule,rule_no_locator,rule_no_locator
S30,not_stated,data_driven,not_stated,NB_IoT_cellular,not_reported,packet loss rate due,RL_ML,event_triggered,simulation_only,tracking error,not_reported,power consumption in the downlink transmission,simulation_only,none,primary_study,9,absent,rule,absent,rule,absent,rule,rule,rule,rule,rule,absent,rule,rule,rule_no_locator,rule_no_locator
S34,greenhouse_microclimate,none_stated,not_stated,WiFi,not_reported,not_reported,Fuzzy,not_stated,standalone_embedded,not_reported,not_reported,not_reported,lab_prototype_or_HIL,none,primary_study,5,rule,absent,absent,rule,absent,absent,rule,absent,rule,absent,absent,absent,rule,rule_no_locator,rule_no_locator
S35,greenhouse_microclimate,data_driven,not_stated,WiFi,not_reported,not_reported,Fuzzy,manual_remote,cloud,not_reported,not_reported,energy consumption while maintaining the,lab_prototype_or_HIL,none,primary_study,9,rule,rule,absent,rule,absent,absent,rule,rule,rule,absent,absent,rule,rule,rule_no_locator,rule
S36,irrigation_outdoor,data_driven,time constant (𝜏) of 10µs,WiFi,not_reported,not_reported,on_off_threshold,not_stated,cloud,not_reported,not_reported,power Consumption Compare to higher version of Raspberry as shown in Fig,lab_prototype_or_HIL,none,primary_study,8,rule,rule,rule,rule,absent,absent,adjudicated,absent,rule,absent,absent,rule,rule,rule_no_locator,rule_no_locator
