unique_id,source_raw_id,title,year,doi,source_channel,query_id,pnce_status,decision,reason_code,evidence_basis
U001,RAW001,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment,2025,10.1016/j.atech.2025.101071,existing_core68,CORE68,included_core,include_verified_core,verified_core68_prior_audit,metadata/title/abstract automated screen; full-text required for candidate_core
U002,RAW002,Enhancing greenhouse efficiency: Integrating IoT and reinforcement learning for optimized climate control,2024,10.3390/s24248109,existing_core68,CORE68,included_core,include_verified_core,verified_core68_prior_audit,metadata/title/abstract automated screen; full-text required for candidate_core
U003,RAW003,RL-Guided MPC for Autonomous Greenhouse Control,2025,10.1016/j.ifacol.2025.11.829,existing_core68,CORE68,included_core,include_verified_core,verified_core68_prior_audit,metadata/title/abstract automated screen; full-text required for candidate_core
U004,RAW004,Event-Triggered Predictive Control for Networked Control Systems with Random Delays,2024,,existing_core68,CORE68,included_core,include_verified_core,verified_core68_prior_audit,metadata/title/abstract automated screen; full-text required for candidate_core
U005,RAW005,Greenhouse climate management: an optimal control approach,1994,,existing_core68,CORE68,included_core,include_verified_core,verified_core68_prior_audit,metadata/title/abstract automated screen; full-text required for candidate_core
U006,RAW006,Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong Delta,2021,10.1007/s13593-021-00705-z,existing_core68,CORE68,included_core,include_verified_core,verified_core68_prior_audit,metadata/title/abstract automated screen; full-text required for candidate_core
U007,RAW007,Model Predictive Control for Greenhouse Climate: A Comprehensive Review and Practical Case Study,2023,,existing_core68,CORE68,included_core,include_verified_core,verified_core68_prior_audit,metadata/title/abstract automated screen; full-text required for candidate_core
U008,RAW008,Reinforcement learning-based model predictive control for greenhouse climate control,2025,10.1016/j.atech.2024.100751,existing_core68,CORE68,included_core,include_verified_core,verified_core68_prior_audit,metadata/title/abstract automated screen; full-text required for candidate_core
U009,RAW009,Efficient energy management and temperature control of a high-tech greenhouse using an improved data-driven model predictive control,2025,10.1016/j.ecmx.2025.100939,existing_core68,CORE68,included_core,include_verified_core,verified_core68_prior_audit,metadata/title/abstract automated screen; full-text required for candidate_core
U010,RAW010,Predictive control for greenhouse temperature and humidity and energy optimization by improved NMPC objective function algorithm,2024,10.25165/j.ijabe.20241705.8241,existing_core68,CORE68,included_core,include_verified_core,verified_core68_prior_audit,metadata/title/abstract automated screen; full-text required for candidate_core
