id,appendix_title,appendix_year,appendix_doi,verified_title,verified_year,verified_authors,verified_doi,match_score,match_status,provider,is_year_mismatch,raw_content
S001,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment,2025,,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment,2025,"Ghiat, Ikhlas, Govindan, Rajesh, Al-Ansari, Tareq",10.1016/j.atech.2025.101071,1.0,high,crossref,no,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment (2025).
S002,Enhancing greenhouse efficiency: Integrating IoT and reinforcement learning for optimized climate control,2024,,Enhancing Greenhouse Efficiency: Integrating IoT and Reinforcement Learning for Optimized Climate Control,2024,"Platero-Horcajadas, Manuel, Pardo-Pina, Sofia, Cámara-Zapata, José-María, Brenes-Carranza, José-Antonio, Ferrández-Pastor, Francisco-Javier",10.3390/s24248109,1.0,high,crossref,no,Enhancing greenhouse efficiency: Integrating IoT and reinforcement learning for optimized climate control (2024).
S003,RL-Guided MPC for Autonomous Greenhouse Control,2025,,RL-Guided MPC for Autonomous Greenhouse Control,2025,"Msaad, Salim, Harraway, Murray, McAllister, Robert D.",10.1016/j.ifacol.2025.11.829,1.0,high,crossref,no,RL-Guided MPC for Autonomous Greenhouse Control (2025).
S004,Event-Triggered Predictive Control for Networked Control Systems with Random Delays,2024,,Event-Triggered Control for Scalar Networked Systems with Random Delays,2025,"Tan, Wanlin, Liu, Yuan, Ling, Qiang",10.1109/aiea66061.2025.11160534,0.831,medium,crossref,yes,Event-Triggered Predictive Control for Networked Control Systems with Random Delays (2024).
S005,Greenhouse climate management: an optimal control approach,1994,,Greenhouse climate management : an optimal control approach,None,"van Henten, E.J.",10.18174/205106,1.0,high,crossref,yes,Greenhouse climate management: an optimal control approach (1994).
S006,Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong Delta,2021,,Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong Delta,2021,"Pham, Vu Bang, Diep, Thanh Tung, Fock, Karin, Nguyen, Thai Son",10.1007/s13593-021-00705-z,1.0,high,crossref,no,Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong Delta (2021).
S007,Model Predictive Control for Greenhouse Climate: A Comprehensive Review and Practical Case Study,2023,,Reinforcement learning-based model predictive control for greenhouse climate control,2025,"Mallick, Samuel, Airaldi, Filippo, Dabiri, Azita, Sun, Congcong, De Schutter, Bart",10.1016/j.atech.2024.100751,0.581,low,crossref,yes,Model Predictive Control for Greenhouse Climate: A Comprehensive Review and Practical Case Study (2023).
S008,Reinforcement learning-based model predictive control for greenhouse climate control,2025,,Reinforcement learning-based model predictive control for greenhouse climate control,2025,"Mallick, Samuel, Airaldi, Filippo, Dabiri, Azita, Sun, Congcong, De Schutter, Bart",10.1016/j.atech.2024.100751,1.0,high,crossref,no,Reinforcement learning-based model predictive control for greenhouse climate control (2025).
S009,Efficient energy management and temperature control of a high-tech greenhouse using an improved data-driven mode...,2025,,Efficient energy management and temperature control of a high-tech greenhouse using an improved data-driven model predictive control,2025,"Mahmood, Farhat, Govindan, Rajesh, Al-Ansari, Tareq",10.1016/j.ecmx.2025.100939,0.918,high,crossref,no,Efficient energy management and temperature control of a high-tech greenhouse using an improved data-driven mode... (2025).
S010,Predictive control for greenhouse temperature and humidity and energy optimization by improved NMPC objective fu...,2024,,Predictive control for greenhouse temperature and humidity and energy optimization by improved NMPC objective function algorithm,2024,"Wang, Lina, , , Zhang, Ying, Xu, Mengjie, Liu, Qiuhui, Wan, Binrui, , , , ",10.25165/j.ijabe.20241705.8241,0.933,high,crossref,no,Predictive control for greenhouse temperature and humidity and energy optimization by improved NMPC objective fu... (2024).
S011,Learning-based multi-agent MPC for irrigation scheduling,2024,,Learning-based multi-agent MPC for irrigation scheduling,2024,"Agyeman, Bernard T., Naouri, Mohamed, Appels, Willemijn M., Liu, Jinfeng, Shah, Sirish L.",10.1016/j.conengprac.2024.105908,1.0,high,crossref,no,Learning-based multi-agent MPC for irrigation scheduling (2024).
S012,Robust sample-based model predictive control of a greenhouse system with parametric uncertainty,2022,,Robust sample-based model predictive control of a greenhouse system with parametric uncertainty,2022,"Boersma, Sjoerd, Sun, Congcong, van Mourik, Simon",10.1016/j.ifacol.2022.11.135,1.0,high,crossref,no,Robust sample-based model predictive control of a greenhouse system with parametric uncertainty (2022).
S013,Smart Irrigation System Considering Optimal Energy Management Based on Model Predictive Control (MPC),2022,,Smart Irrigation System Considering Optimal Energy Management Based on Model Predictive Control (MPC),2022,"Quimbita, Wilmer, Toapaxi, Edison, Llanos, Jacqueline",10.3390/app12094235,1.0,high,crossref,no,Smart Irrigation System Considering Optimal Energy Management Based on Model Predictive Control (MPC) (2022).
S014,Robust model predictive control for greenhouse temperature based on particle swarm optimization,2018,,Robust model predictive control for greenhouse temperature based on particle swarm optimization,2018,"Chen, Lijun, Du, Shangfeng, He, Yaofeng, Liang, Meihui, Xu, Dan",10.1016/j.inpa.2018.04.003,1.0,high,crossref,no,Robust model predictive control for greenhouse temperature based on particle swarm optimization (2018).
S015,Event-Triggered Control for Scalar Networked Systems with Random Delays,2025,,Event-Triggered Control for Scalar Networked Systems with Random Delays,2025,"Tan, Wanlin, Liu, Yuan, Ling, Qiang",10.1109/aiea66061.2025.11160534,1.0,high,crossref,no,Event-Triggered Control for Scalar Networked Systems with Random Delays (2025).
S016,Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control,2021,,Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control,2021,"Lozoya, Camilo, Favela-Contreras, Antonio, Aguilar-Gonzalez, Alberto, Félix-Herrán, L.C., Orona, Luis",10.3390/s21165541,1.0,high,crossref,no,Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control (2021).
S017,Self-triggered Control with Energy Harvesting Sensor Nodes,2023,,Self-triggered Control with Energy Harvesting Sensor Nodes,2023,"Stricker, Naomi, Lian, Yingzhao, Jiang, Yuning, Jones, Colin N., Thiele, Lothar",10.1145/3597311,1.0,high,crossref,no,Self-triggered Control with Energy Harvesting Sensor Nodes (2023).
S018,A Sensitivity-Based Approach to Self-Triggered Nonlinear Model Predictive Control,2024,,A Sensitivity-Based Approach to Self-Triggered Nonlinear Model Predictive Control,2024,"Conrad, Paulina, Graichen, Knut",10.1109/access.2024.3480522,1.0,high,crossref,no,A Sensitivity-Based Approach to Self-Triggered Nonlinear Model Predictive Control (2024).
S019,Self-Triggered DMPC for Dynamically Coupled Systems With Reduced Conservatism,2025,,Self-Triggered DMPC for Dynamically Coupled Systems With Reduced Conservatism,2025,"Chen, Qianqian, Zou, Yuanyuan, Li, Shaoyuan",10.1109/tii.2025.3593862,1.0,high,crossref,no,Self-Triggered DMPC for Dynamically Coupled Systems With Reduced Conservatism (2025).
S020,Self-Triggered Distributed Model Predictive Control with Synchronization Parameters Interaction,2024,,Self-Triggered Distributed Model Predictive Control with Synchronization Parameters Interaction,2024,"Qianqian Chen, Shaoyuan Li",10.48550/arxiv.2405.11006,1.0,high,openalex,no,Self-Triggered Distributed Model Predictive Control with Synchronization Parameters Interaction (2024).
S021,Event-Based Sensor Data Scheduling: Trade-Off Between Communication Rate and Estimation Quality,2013,,Event-Based Sensor Data Scheduling: Trade-Off Between Communication Rate and Estimation Quality,2013,"Wu, Junfeng, Jia, Qing-Shan, Johansson, Karl Henrik, Shi, Ling",10.1109/tac.2012.2215253,1.0,high,crossref,no,Event-Based Sensor Data Scheduling: Trade-Off Between Communication Rate and Estimation Quality (2013).
S022,A survey on recent advances in event-triggered communication and control,2018,,A survey on recent advances in event-triggered communication and control,2018,"Peng, Chen, Li, Fuqiang",10.1016/j.ins.2018.04.055,1.0,high,crossref,no,A survey on recent advances in event-triggered communication and control (2018).
S023,Data-driven-based fully distributed event-triggered control for nonlinear multi-agent systems,2025,,Data-driven-based fully distributed event-triggered control for nonlinear multi-agent systems,2025,"Qiu, Xiaojie, Meng, Wenchao, Wang, Yingchun, Yang, Qinmin",10.1016/j.amc.2025.129307,1.0,high,crossref,no,Data-driven-based fully distributed event-triggered control for nonlinear multi-agent systems (2025).
S024,Event-Triggered Distributed Optimal Bipartite Consensus Control for Multi-Agent Systems via Adaptive Dynamic Pro...,2025,,Event-Triggered Distributed Optimal Bipartite Consensus Control for Multi-Agent Systems via Adaptive Dynamic Programming,2025,"Huang, Huachen, Zhang, Yongwei, Zhang, Shunchao",10.1109/crc67523.2025.11288265,0.966,high,crossref,no,Event-Triggered Distributed Optimal Bipartite Consensus Control for Multi-Agent Systems via Adaptive Dynamic Pro... (2025).
S025,Disturbance Rejection Self-Triggered Distributed MPC With Adaptive Prediction Horizon for Asynchronous Multiagen...,2024,,Disturbance Rejection Self-Triggered Distributed MPC With Adaptive Prediction Horizon for Asynchronous Multiagent Systems,2024,"Yang, Yu, Xu, Hongze, Yao, Xiuming",10.1109/tsmc.2024.3350157,0.961,high,crossref,no,Disturbance Rejection Self-Triggered Distributed MPC With Adaptive Prediction Horizon for Asynchronous Multiagen... (2024).
S026,Semi--Global Exponential Stabilization of Nonlinear Time--Delay Systems via Sampled--Data Event--Triggered Controllers,2025,,Semi–Global Exponential Stabilization of Nonlinear Time–Delay Systems via Sampled–Data Event–Triggered Controllers,2025,"Di Ferdinando, M., Borri, A., Di Gennaro, S., Pepe, P.",10.1109/cdc57313.2025.11312052,1.0,high,crossref,no,Semi--Global Exponential Stabilization of Nonlinear Time--Delay Systems via Sampled--Data Event--Triggered Controllers (2025).
S027,Observer-based AE-T cooperative DMPC for a class of interconnected nonlinear systems with time delay and unmodel...,2025,,Observer-based AE-T cooperative DMPC for a class of interconnected nonlinear systems with time delay and unmodeled dynamics,2025,"Su, Baili, Li, Hongli, Su, Shicheng",10.1080/00207721.2025.2467224,0.953,high,crossref,no,Observer-based AE-T cooperative DMPC for a class of interconnected nonlinear systems with time delay and unmodel... (2025).
S028,The event-triggered sampling optimization criterion for distributed networked monitoring and control systems,n.d.,,The event-triggered sampling optimization criterion for distributed networked monitoring and control systems,None,"Miskowicz, M.",10.1109/icit.2003.1290814,1.0,high,crossref,yes,The event-triggered sampling optimization criterion for distributed networked monitoring and control systems (n.d.).
S029,Stability of output event-based control systems through quadratic trigger functions,2015,,Stability of output event-based control systems through quadratic trigger functions,2015,"Aranda-Escolastico, Ernesto, Guinaldo, Maria, Dormido, Sebastian",10.1109/etfa.2015.7301402,1.0,high,crossref,no,Stability of output event-based control systems through quadratic trigger functions (2015).
S030,A Learning Approach for Joint Design of Event-Triggered Control and Power-Efficient Resource Allocation,2022,,A Learning Approach for Joint Design of Event-Triggered Control and Power-Efficient Resource Allocation,2022,"Termehchi, Atefeh, Rasti, Mehdi",10.1109/tvt.2022.3159739,1.0,high,crossref,no,A Learning Approach for Joint Design of Event-Triggered Control and Power-Efficient Resource Allocation (2022).
S031,Intelligent Condensation Irrigation System Based on Internet of Things,2023,,Intelligent Condensation Irrigation System Based on Internet of Things,2023,"Lin, Jin, Xie, Chaoshun, Tan, Wenguang, Li, Zerui",10.1109/icmsp58539.2023.10170873,1.0,high,crossref,no,Intelligent Condensation Irrigation System Based on Internet of Things (2023).
S032,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",2025,,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",2025,"Fhaizal, Mohamad Agus, Rizki, Muhammad, Wijaya, Wisnu, Sani, Winardi, Frihatna, Jejen Jaelani, Deni Mulyadi, Cecep",10.1109/tssa68467.2025.11303843,1.0,high,crossref,no,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming (2025)."
S033,Design and performance of nutrient dosing control system for hydroponic chilli plant using fuzzy logic controller,2025,,Design and performance of nutrient dosing control system for hydroponic chilli plant using fuzzy logic controller,2025,"Prastono, Haryo, Solahudin, Mohamad, Supriyanto, Supriyanto",10.55981/j.mev.2025.910,1.0,high,crossref,no,Design and performance of nutrient dosing control system for hydroponic chilli plant using fuzzy logic controller (2025).
