id,title,application_class,application_conf,protocol_class,protocol_conf,control_strategy,control_conf,evidence_note
S01,"Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment",greenhouse_microclimate,medium,unspecified,low,MPC,high,"title: 'model predictive control for irrigation management in agricultural greenhouses under CO2'"
S02,"Enhancing greenhouse efficiency: Integrating IoT and reinforcement learning for optimized climate control",greenhouse_microclimate,high,unspecified,low,ML_RL,high,"title: 'reinforcement learning for optimized climate control'"
S03,"RL-Guided MPC for Autonomous Greenhouse Control",greenhouse_microclimate,high,unspecified,low,hybrid,high,"title: 'RL-Guided MPC for Autonomous Greenhouse Control'"
S04,"Event-triggered Predictive Control for Networked Systems with Communication Delays Compensation",ncs_iot_platform,medium,unspecified,low,hybrid,high,"title: 'Event-triggered Predictive Control for Networked Systems' (ETC + MPC)"
S05,"Greenhouse climate management: an optimal control approach",greenhouse_microclimate,high,unspecified,low,unspecified,low,"title: 'an optimal control approach' (optimal control not in taxonomy; verify full text)"
S06,"Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam's Mekong Delta",irrigation_outdoor,high,unspecified,low,unspecified,low,"title: 'alternate wetting and drying irrigation for rice ... Mekong Delta' (no named control)"
S07,"Reinforcement Learning versus Model Predictive Control on greenhouse climate control",greenhouse_microclimate,high,unspecified,low,hybrid,high,"title: 'Reinforcement Learning versus Model Predictive Control on greenhouse climate' (comparison RL/MPC)"
S08,"Reinforcement learning-based model predictive control for greenhouse climate control",greenhouse_microclimate,high,unspecified,low,hybrid,high,"title: 'Reinforcement learning-based model predictive control'"
S09,"Efficient energy management and temperature control of a high-tech greenhouse using an improved data-driven model predictive control",greenhouse_microclimate,high,unspecified,low,MPC,high,"title: 'improved data-driven model predictive control' high-tech greenhouse"
S10,"Predictive control for greenhouse temperature and humidity and energy optimization by improved NMPC objective function algorithm",greenhouse_microclimate,high,unspecified,low,MPC,high,"title: 'improved NMPC objective function algorithm' greenhouse temp/humidity"
S11,"Learning-based multi-agent MPC for irrigation scheduling",irrigation_outdoor,medium,unspecified,low,hybrid,high,"title: 'Learning-based multi-agent MPC for irrigation scheduling' (ML + MPC)"
S12,"Robust sample-based model predictive control of a greenhouse system with parametric uncertainty",greenhouse_microclimate,high,unspecified,low,MPC,high,"title: 'model predictive control of a greenhouse system'"
S13,"Smart Irrigation System Considering Optimal Energy Management Based on Model Predictive Control (MPC)",irrigation_outdoor,medium,unspecified,low,MPC,high,"title: 'Based on Model Predictive Control (MPC)'"
S14,"Robust model predictive control for greenhouse temperature based on particle swarm optimization",greenhouse_microclimate,high,unspecified,low,MPC,high,"title: 'model predictive control for greenhouse temperature ... PSO'"
S15,"Event-Triggered Control for Scalar Networked Systems with Random Delays",ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,"title: 'Event-Triggered Control for Scalar Networked Systems'"
S16,"Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control",irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Wireless Communication Strategy for ... Irrigation Control' (no named control strategy)"
S17,"Self-triggered Control with Energy Harvesting Sensor Nodes",ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,"title: 'Self-triggered Control with Energy Harvesting Sensor Nodes' (self-triggered = ETC family)"
S18,"A Sensitivity-Based Approach to Self-Triggered Nonlinear Model Predictive Control",ncs_iot_platform,medium,unspecified,low,hybrid,high,"title: 'Self-Triggered Nonlinear Model Predictive Control' (ETC + MPC)"
S19,"Self-Triggered DMPC for Dynamically Coupled Systems With Reduced Conservatism",ncs_iot_platform,medium,unspecified,low,hybrid,high,"title: 'Self-Triggered DMPC' (ETC + distributed MPC)"
S20,"Self-Triggered Distributed Model Predictive Control with Synchronization Parameters Interaction",ncs_iot_platform,medium,unspecified,low,hybrid,high,"title: 'Self-Triggered Distributed Model Predictive Control' (ETC + MPC)"
