record_id,field,value,coding_basis,locator,quote,rule_error
S02,p1_application,greenhouse_microclimate,rule,body text (no structural marker),"urce use. As climate change continues to pose challenges to traditional farming methods, the integrated IoT-RL approach in greenhouses offers a promising solution to ensure food security in an environmentally responsible",
S02,p2_dynamics_model,data_driven,rule,body text (no structural marker),rgy use. Wang et al. [ 3 ] present an RL controller based on recurring neural networks based on Long Short-Term Memory (LSTM) for microgrid management with potential applications in greenhouses. Kazmi et al. [ 4 ] explor,
S02,p3_time_constant,sampling intervals (up to 60 min,rule,body text (no structural marker),sampling intervals (up to 60 min,
S02,n1_protocol,WiFi,rule,body text (no structural marker),"l, compressed air, mains water and osmosed water connections. Embedded device (raspberrypi4) that deploys an intranet (WiFi, Bluetooth Low Energy) for communication, monitoring, and control. Electric energy meter in thre",
S02,c1_strategy,RL_ML,adjudicated,sec. 3 Materials and Methods (RL agent description),"In the model presented in this work, the agent performs control actions to adjust the set-points, ensuring that the internal conditions of the greenhouse stay within the predefined maximum and minimum limits.","First-match rule picked 'optimal control' from a related-work sentence describing Kazmi et al., not the method of this paper."
S02,c3_architecture,cloud,rule,Table 3,1 IoT Gateway or Router : This device acts as a central communication point between various sensors and devices and the cloud server. It uses IoT protocols to transmit data. 2 Sensors and Meters : These devices collect d,
S02,e1_control_quality,RMSE and MAE values,rule,body text (no structural marker),RMSE and MAE values,
S02,e3_energy,energy efficiency and reduce operational costs in greenhouses,rule,body text (no structural marker),energy efficiency and reduce operational costs in greenhouses,
S02,evidence_type,greenhouse_or_plot_experiment,adjudicated,sec. 3.1 (automated greenhouse with IoT),The expertise of this technician was crucial in transferring the RL model to a real-world automated greenhouse equipped with IoT technology.,"No evidence probe matched, so the default simulation_only was emitted despite a described transfer to a real automated greenhouse."
S03,p1_application,greenhouse_microclimate,rule,sec. 1. INTRODUCTION,"is not desirable as optimal economic operation requires dynamically adjusting the temperature, humidity, and CO2 levels in the greenhouse. Economic MPC, which uses economic costs directly in the stage cost and does not f",
S03,p2_dynamics_model,data_driven,rule,sec. 5.1 Terminal cost,"ets, with 80% of the data used for training and 20% for validation. To construct the cost function approximator J˜ϕ , a neural network parameterized by ϕ is trained using the values of x1 (k (i) ) and k (i) as inputs and",
S03,n1_protocol,none_no_network,rule,body text,no protocol term found in body text,
S03,c1_strategy,MPC,rule,body text (no structural marker),RL-Guided MPC for Autonomous Greenhouse Control Salim Msaad ∗ Murray Harraway ∗ Robert D. McAllister ∗ arXiv:2506.13278v1 [eess.SY] 16 Jun 2025 ∗ Delft Center for Systems,
S03,c3_architecture,simulation_only,rule,sec. 4. MODEL PREDICTIVE CONTROL,ted with the previous solution. The optimization problem is solved numerically using the open-source software framework CasADi (Andersson et al. (2019)) and the IPOPT solver (Wächter and Biegler (2006)). Two different M,
S03,e1_control_quality,dry weight (kg m−2 ),rule,sec. 1. INTRODUCTION; Table 1,dry weight (kg m−2 ),
S03,evidence_type,simulation_only,rule,body text (no structural marker),"d RL via numerical simulations. Two scenarios are considered: a deterministic environment and an uncertain environment. Simulation results demonstrate that, in both environments, RL-Guided MPC outperforms both RL and MPC",
S03,comparator_present,within_model_comparison,rule,body text (no structural marker),certainties of RL with MPC’s online optimization to improve overall control performance. The RL-Guided MPC framework is compared with both MPC and RL via numerical simulations. Two scenarios are considered: a determinist,
S05,p1_application,greenhouse_microclimate,rule,sec. 7.2.4. Concluding r e m a r k s,cussion 7.2.4. Concluding r e m a r k s 7.3. The effect of d i f f e r e n t crop g r o w t h models on optimal heating in greenhouse climate management 7.3.1. Introduction 7.3.2. Methodology 7 . 3 . 3 . Results and disc,
S05,p2_dynamics_model,higher_order,rule,sec. 22 Chapter 3,ions involved in the carboxylation process. In this research the carboxylation resistance is described by the following second order polynomial fitted to data from Goudriaan (1987): (3.7) (r car = c car>1 Xt + c c a r > ,
S05,p3_time_constant,time constants whose presence cause the system to be more,rule,sec. Introduction,time constants whose presence cause the system to be more,
S05,n1_protocol,none_no_network,rule,body text,no protocol term found in body text,
S05,c1_strategy,optimal_control,rule,body text (no structural marker),"Co-promotor: Dr. J. Bontsema, universitair docent, vakgroep Agrotechniek en -fysica GREENHOUSE CLIMATE MANAGEMENT: AN OPTIMAL CONTROL APPROACH n c-h AJAJof?o1 ^ Ö E.J. van Henten GREENHOUSE CLIMATEMANAGEMENT:ANOPTIMALCON",
S05,e1_control_quality,dry weight is considered to be the major,rule,sec. 2. FORMULATION OF THE CONTROL PROBLEM,dry weight is considered to be the major,
S05,e3_energy,energy consumption amounts to approximately 15% of the total,rule,sec. 1. INTRODUCTION,energy consumption amounts to approximately 15% of the total,
S05,evidence_type,greenhouse_or_plot_experiment,rule,sec. 3.2.4.3. Validation,"days in the beginning (27 - 31 January), the middle (13 - 17 February) and towards the end ( 1 - 5 March) of the second greenhouse experiment in 1992. The data obtained in the period from 13 to 17 February 1992 were used",
S06,p1_application,irrigation_outdoor,rule,sec. 43 Page 2 of 9 Agron. Sustain. Dev. (2021) 41: 4; p.3/9,tcome whose plots were not connected to the secondary canals re- indicators’ measurement. ceived water through field-to-field irrigation by temporarily opening field boundaries and closing them when enough wa- 2.1.1 Inte,
S06,n1_protocol,LoRa_LoRaWAN,rule,sec. 43 Page 4 of 9 Agron. Sustain. Dev. (2021) 41: 4; p.4/9,mitted dB transmission power (Kolobe et al. 2020; Ali et al. 2019)). the water level data in real time using a wireless LoRa con- The controller or gateway sent the data to the cloud-based data nection. This connection i,
S06,c1_strategy,on_off_threshold,adjudicated,sec. 2.1.1 and sec. 3.3; p.4/9 and p.7/9,it measured every 5 min the water level from 15 cm below ground up to 5 cm above ground ... AWD with a safe groundwater threshold of -15 cm,No strategy keyword appears in the body; the control rule is stated as a water-level threshold rather than by a named control-theory term.
S06,c2_trigger,manual_remote,adjudicated,sec. 2.1 / sec. 3.1 (Can Tho site description),individually controllable and automatically controlled pump operations,Trigger probe found no match; irrigation is initiated by the farmer from the application after remote water-level monitoring.
S06,c3_architecture,cloud,rule,sec. 43 Page 2 of 9 Agron. Sustain. Dev. (2021) 41: 4; p.3/9; Fig. 2,"sensors (“smart” AWD tube), a respective farmer groups. The pilot plots were situated on the controller/gateway, and a cloud platform, as well as mobile sand ridge (described as sandy soil) that had weak water- and web-b",
