raw_id,source_channel,query_id,title,year,authors,venue,doi,url,abstract,raw_status,dedupe_status,pnce_status,exclusion_reason,match_score
RAW001,existing_core68,CORE68,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment,2025,,Smart Agricultural Technology,10.1016/j.atech.2025.101071,https://doi.org/10.1016/j.atech.2025.101071,,identified,unique,included_core,verified_core68_prior_audit,
RAW002,existing_core68,CORE68,Enhancing greenhouse efficiency: Integrating IoT and reinforcement learning for optimized climate control,2024,,Sensors,10.3390/s24248109,https://doi.org/10.3390/s24248109,,identified,unique,included_core,verified_core68_prior_audit,
RAW003,existing_core68,CORE68,RL-Guided MPC for Autonomous Greenhouse Control,2025,,IFAC-PapersOnLine,10.1016/j.ifacol.2025.11.829,https://doi.org/10.1016/j.ifacol.2025.11.829,,identified,unique,included_core,verified_core68_prior_audit,
RAW004,existing_core68,CORE68,Event-triggered Predictive Control for Networked Systems with Communication Delays Compensation,2014,"Liu, Jun and Xia, Yuanqing and Rees, David",Automatica,10.1109/IECON.2014.7049044,https://doi.org/10.1109/IECON.2014.7049044,,identified,unique,included_core,verified_core68_prior_audit,
RAW005,existing_core68,CORE68,Greenhouse climate management: an optimal control approach,1994,,Wageningen University and Research,,,,identified,unique,included_core,verified_core68_prior_audit,
RAW006,existing_core68,CORE68,Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong Delta,2021,,Agronomy for Sustainable Development,10.1007/s13593-021-00705-z,https://doi.org/10.1007/s13593-021-00705-z,,identified,unique,included_core,verified_core68_prior_audit,
RAW007,existing_core68,CORE68,Reinforcement Learning versus Model Predictive Control on greenhouse climate control,2023,"Morcego, Bernardo and Yin, Wenjie and van Henten, Eldert J. and Stanghellini, Cecilia and van Mourik, Simon",Computers and Electronics in Agriculture,10.1016/j.compag.2023.108372,https://doi.org/10.1016/j.compag.2023.108372,,identified,unique,included_core,verified_core68_prior_audit,
RAW008,existing_core68,CORE68,Reinforcement learning-based model predictive control for greenhouse climate control,2025,,Smart Agricultural Technology,10.1016/j.atech.2024.100751,https://doi.org/10.1016/j.atech.2024.100751,,identified,unique,included_core,verified_core68_prior_audit,
RAW009,existing_core68,CORE68,Efficient energy management and temperature control of a high-tech greenhouse using an improved data-driven model predictive control,2025,,Energy Conversion and Management: X,10.1016/j.ecmx.2025.100939,https://doi.org/10.1016/j.ecmx.2025.100939,,identified,unique,included_core,verified_core68_prior_audit,
RAW010,existing_core68,CORE68,Predictive control for greenhouse temperature and humidity and energy optimization by improved NMPC objective function algorithm,2024,,International Journal of Agricultural and Biological Engineering,10.25165/j.ijabe.20241705.8241,https://doi.org/10.25165/j.ijabe.20241705.8241,,identified,unique,included_core,verified_core68_prior_audit,
RAW011,existing_core68,CORE68,Learning-based multi-agent MPC for irrigation scheduling,2024,,Control Engineering Practice,10.1016/j.conengprac.2024.105908,https://doi.org/10.1016/j.conengprac.2024.105908,,identified,unique,included_core,verified_core68_prior_audit,
RAW012,existing_core68,CORE68,Robust sample-based model predictive control of a greenhouse system with parametric uncertainty,2022,,IFAC-PapersOnLine,10.1016/j.ifacol.2022.11.135,https://doi.org/10.1016/j.ifacol.2022.11.135,,identified,unique,included_core,verified_core68_prior_audit,
RAW013,existing_core68,CORE68,Smart Irrigation System Considering Optimal Energy Management Based on Model Predictive Control (MPC),2022,,Applied Sciences,10.3390/app12094235,https://doi.org/10.3390/app12094235,,identified,unique,included_core,verified_core68_prior_audit,
RAW014,existing_core68,CORE68,Robust model predictive control for greenhouse temperature based on particle swarm optimization,2018,,Information Processing in Agriculture,10.1016/j.inpa.2018.04.003,https://doi.org/10.1016/j.inpa.2018.04.003,,identified,unique,included_core,verified_core68_prior_audit,
RAW015,existing_core68,CORE68,Event-Triggered Control for Scalar Networked Systems with Random Delays,2025,,2025 6th International Conference on Artificial Intelligence and Electromechanical Automation (AIEA),10.1109/aiea66061.2025.11160534,https://doi.org/10.1109/aiea66061.2025.11160534,,identified,unique,included_core,verified_core68_prior_audit,
RAW016,existing_core68,CORE68,Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control,2021,,Sensors,10.3390/s21165541,https://doi.org/10.3390/s21165541,,identified,unique,included_core,verified_core68_prior_audit,
