candidate_id,source_raw_id,title,year,doi,url,source_channel,query_id,fulltext_status,pdf_url,landing_url,retrieval_note,pnce_decision,pnce_evidence,manual_review_note
FT001,RAW069,Renewable Energy Integration Into Cloud &amp; IoT-Based Smart Agriculture,2021,10.1109/access.2021.3138160,https://doi.org/10.1109/access.2021.3138160,OpenAlex,Q1,pending_retrieval,,https://doi.org/10.1109/access.2021.3138160,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT002,RAW081,High-Order Neural-Network-Based Multi-Model Nonlinear Adaptive Decoupling Control for Microclimate Environment of Plant Factory,2023,10.3390/s23198323,https://doi.org/10.3390/s23198323,OpenAlex,Q1,pending_retrieval,,https://doi.org/10.3390/s23198323,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT003,RAW082,THE MECHANISM OF DIGITAL TRANSFORMATION OF AGRICULTURE,2023,10.12709/mest.11.11.02.09,https://doi.org/10.12709/mest.11.11.02.09,OpenAlex,Q1,pending_retrieval,,https://doi.org/10.12709/mest.11.11.02.09,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT004,RAW083,IOT-BASED SMART AGRICULTURE USING CLOUD BASED STORAGE,2022,10.56726/irjmets31282,https://doi.org/10.56726/irjmets31282,OpenAlex,Q1,pending_retrieval,,https://doi.org/10.56726/irjmets31282,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT005,RAW084,PLC Based Smart Irrigation System,2019,10.22214/ijraset.2019.6064,https://doi.org/10.22214/ijraset.2019.6064,OpenAlex,Q1,pending_retrieval,,https://doi.org/10.22214/ijraset.2019.6064,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT006,RAW109,Research on the Three-Level Integrated Environmental Evaluation Model for Multi-Greenhouse Potatoes,2024,10.3390/agriculture14071043,https://doi.org/10.3390/agriculture14071043,OpenAlex,Q2,pending_retrieval,,https://doi.org/10.3390/agriculture14071043,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT007,RAW110,Event and Time-Triggered Control Module Layers for Individual Robot Control Architectures of Unmanned Agricultural Ground Vehicles,2017,,https://openalex.org/W2774301718,OpenAlex,Q2,pending_retrieval,,https://openalex.org/W2774301718,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT008,RAW114,Holistic Control for Cyber-Physical Systems,2021,10.7936/31bn-m317,https://doi.org/10.7936/31bn-m317,OpenAlex,Q2,pending_retrieval,,https://doi.org/10.7936/31bn-m317,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT009,RAW116,Renewable energy-powered semi-closed greenhouse for sustainable crop production using model predictive control and machine learning for energy management,2022,10.1016/j.rser.2022.112790,https://doi.org/10.1016/j.rser.2022.112790,OpenAlex,Q3,pending_retrieval,,https://doi.org/10.1016/j.rser.2022.112790,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT010,RAW117,A model predictive controller for precision irrigation using discrete lagurre networks,2021,10.1016/j.compag.2020.105953,https://doi.org/10.1016/j.compag.2020.105953,OpenAlex,Q3,pending_retrieval,,https://doi.org/10.1016/j.compag.2020.105953,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT011,RAW119,Model Predictive Control Structures for Periodic ON–OFF Irrigation,2023,10.1109/access.2023.3277618,https://doi.org/10.1109/access.2023.3277618,OpenAlex,Q3,pending_retrieval,,https://doi.org/10.1109/access.2023.3277618,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT012,RAW120,Hierarchical model predictive control for managing agricultural greenhouse systems,2022,10.1109/iai55780.2022.9976658,https://doi.org/10.1109/iai55780.2022.9976658,OpenAlex,Q3,pending_retrieval,,https://doi.org/10.1109/iai55780.2022.9976658,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT013,RAW122,An Overview of Smart Irrigation Management for Improving Water Productivity under Climate Change in Drylands,2023,10.3390/agronomy13082113,https://doi.org/10.3390/agronomy13082113,OpenAlex,Q3,pending_retrieval,,https://doi.org/10.3390/agronomy13082113,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT014,RAW129,Internet of Things Approaches for Monitoring and Control of Smart Greenhouses in Industry 4.0,2022,10.3390/en15103834,https://doi.org/10.3390/en15103834,OpenAlex,Q3,pending_retrieval,,https://doi.org/10.3390/en15103834,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT015,RAW130,"Cherry Tomato Production in Intelligent Greenhouses—Sensors and AI for Control of Climate, Irrigation, Crop Yield, and Quality",2020,10.3390/s20226430,https://doi.org/10.3390/s20226430,OpenAlex,Q3,pending_retrieval,,https://doi.org/10.3390/s20226430,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT016,RAW134,Smart greenhouses as the path towards precision agriculture in the food-energy and water nexus: case study of Qatar,2022,10.1007/s10669-022-09862-2,https://doi.org/10.1007/s10669-022-09862-2,OpenAlex,Q3,pending_retrieval,,https://doi.org/10.1007/s10669-022-09862-2,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT017,RAW136,Agricultural Robotics,2018,10.1146/annurev-control-053018-023617,https://doi.org/10.1146/annurev-control-053018-023617,OpenAlex,Q3,pending_retrieval,,https://doi.org/10.1146/annurev-control-053018-023617,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT018,RAW138,Sensor-Based Model Driven Control Strategy for Precision Irrigation,2016,10.1155/2016/9784071,https://doi.org/10.1155/2016/9784071,OpenAlex,Q3,pending_retrieval,,https://doi.org/10.1155/2016/9784071,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
FT019,RAW139,Deployment Strategies of Soil Monitoring WSN for Precision Agriculture Irrigation Scheduling in Rural Areas,2021,10.3390/s21051693,https://doi.org/10.3390/s21051693,OpenAlex,Q3,pending_retrieval,,https://doi.org/10.3390/s21051693,,pending_fulltext,,"Read full text. Accept only if P: irrigation/greenhouse/agriculture plant, N: network/communication constraint, C: closed-loop/control/actuation, E: quantitative evaluation."
