record_id,record_role,title,year,doi,metadata_status,evidence_tier,evidence_basis,fulltext_status,fulltext_locator,application_class,application_confidence,protocol_class,protocol_confidence,control_strategy,control_confidence,pnce_evidence_note,D1_selection_judgement,D1_selection_support,D2_performance_judgement,D2_performance_support,D3_detection_judgement,D3_detection_support,D4_attrition_judgement,D4_attrition_support,D5_reporting_judgement,D5_reporting_support,D6_information_leakage_judgement,D6_information_leakage_support,rob_overall,rob_basis,applicability_note,audit_status,reviewer_id,audit_date
S01,analytical_primary,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment,2025,10.1016/j.atech.2025.101071,verified original seed,E1,verified_metadata,inaccessible_after_attempts,,greenhouse_microclimate,medium,unspecified,low,MPC,high,title: 'model predictive control for irrigation management in agricultural greenhouses under CO2' | Full-text audit: None made; retain existing title/metadata-level MPC classification pending full text.,unclear,No reviewed full text or locator-backed design information.,unclear,No reviewed full text or comparator information.,unclear,No reviewed outcome definitions or results.,unclear,"No reviewed reporting of runs, exclusions, or missing data.",unclear,No reviewed reproducibility/reporting information.,unclear,No reviewed temporal-data protocol.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,"Title indicates greenhouse irrigation under CO2 enrichment, but directness and evaluation type cannot be confirmed without full text.",retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S02,analytical_primary,Enhancing greenhouse efficiency: Integrating IoT and reinforcement learning for optimized climate control,2024,10.3390/s24248109,verified replacement,E2,full_text,fulltext_reviewed,"PMC HTML: Sections 3. Materials and Methods (including 3.4 dataset generation and 3.5 greenhouse/RL models); Section 4.1, Figures 6-8; Sections 4.2.3-4.2.5, Figures 10-12 and Table 9; Section 5 Conclusions.",greenhouse_microclimate,high,unspecified,low,ML_RL,high,title: 'reinforcement learning for optimized climate control' | Full-text audit: Confirm greenhouse microclimate and IoT/RL control relevance. Do not convert reported energy-saving percentages into general field-effectiveness evidence.,some_concerns,The account concerns one industrial hemp greenhouse and describes adaptation with agronomic-technician input (Sections 3.4-3.5); sampling/site representativeness is insufficiently specified.,some_concerns,"RL is compared with fixed set-point/classical control in Section 4.1 and Figures 6-12, but matched controller tuning and co-interventions are not fully documented.",some_concerns,"Temperature and cumulative-energy comparisons are displayed in Figures 6-12 (including 35.44% cooling and 25.93% heating claims), but outcome measurement horizons/uncertainty are incompletely reported.",unclear,"Sections 3-4 do not provide a clear count of evaluative runs or a missing-data, failed-run, and exclusion protocol.",high,"Narrative methods and figures are supplied, but no citable raw IoT dataset, executable RL implementation, seeds, or complete reproducibility artifact is identified in Sections 3-5.",unclear,The prediction/dataset description (Sections 3.4-3.5) does not clearly specify chronological train/test separation or information availability at each decision.,high,Locator-backed full-text adapted RoB audit.,"Direct greenhouse/industrial-hemp implementation context, but effectiveness claims combine facility description with theoretical/prediction-model analyses; limited external agronomic applicability.",fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
S03,analytical_primary,RL-Guided MPC for Autonomous Greenhouse Control,2025,10.1016/j.ifacol.2025.11.829,verified original seed,E2,full_text_preprint,fulltext_reviewed,"arXiv:2506.13278v1 (16 Jun 2025) PREPRINT VERSION, not the published IFAC-PapersOnLine record; Sections 2.1-2.2 and Tables 1-3; Section 3 and Table 4; Sections 5-6 and Figures 1-2.",greenhouse_microclimate,high,unspecified,low,hybrid,high,"title: 'RL-Guided MPC for Autonomous Greenhouse Control' | Full-text audit: None; retain title-level hybrid RL/MPC coding pending review. | Full-text audit (pass 2): Retain greenhouse_microclimate and the hybrid RL-MPC strategy, but classify the evidence as numerical simulation rather than deployed control. The full text supports no networked/IoT deployment claim. Note that the reviewed copy is the arXiv preprint, not the IFAC version listed in the reference set.",some_concerns,Two numerical scenarios (deterministic and parametric-uncertainty) both use a single 40-day Venlow Greenhouse weather series (30 Jan - 11 Mar 2014) with fixed initial conditions; the stochastic case draws 30 parameter realizations (Sections 2.1-2.2; Section 6.2).,some_concerns,"RL-Guided MPC is compared with standalone MPC and SAC under a common objective (Sections 2.2, 3, 4, 6; Figures 1-2), but matched tuning and computational budgets are not established; SAC required gamma=0.95 because gamma=1 destabilized training (Section 3; Table 4).",some_concerns,"The Economic Profit Indicator is defined with units and a 40-day horizon (Section 2.2; Tables 1-3; Eq. 3), but comparative results are presented graphically (Figures 1-2) without numerical tables, and the deterministic case reports no uncertainty.",some_concerns,"Thirty parameter realizations and averaging are reported (Section 6.2), but random seeds, repeated deterministic runs, solver failures, and exclusion rules are not stated.",high,"Equations, constraints, price factors, and some hyperparameters are reported (Sections 2-5; Tables 2-5) and CasADi/IPOPT are named (Section 4), but model parameter values are deferred to another paper and no code, trained policy, weather data, seeds, or numerical result tables are supplied.",high,The simulation assumes weather is deterministic and known at each step (Section 2.1) and assumes crop dry weight is always observed although the paper states growers cannot access it directly (Sections 2.1 and 3). These information assumptions are not shown to hold at decision time.,high,"Locator-backed full-text adapted RoB audit (pass-2 lawful OA retrieval). Reviewed version is the arXiv preprint, not the published record.","Agricultural application evidence, but simulation-only and at preprint level: economic climate control of a lettuce greenhouse over a 40-day weather series, with no physical greenhouse deployment.",fulltext_review_complete,pass2_fulltext_audit_2026,2026-08-10
S04,technical_support_primary,Event-triggered Predictive Control for Networked Systems with Communication Delays Compensation,2014,10.1109/IECON.2014.7049044,verified replacement,E1,verified_metadata,inaccessible_after_attempts,,ncs_iot_platform,medium,unspecified,low,hybrid,high,title: 'Event-triggered Predictive Control for Networked Systems' (ETC + MPC) | Full-text audit: None; retain technical-support/ETC+MPC classification as metadata-level.,unclear,No locator-backed full text.,unclear,No locator-backed full text.,unclear,No locator-backed full text.,unclear,No locator-backed full text.,unclear,No locator-backed full text.,unclear,No locator-backed full text.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Generic networked-systems predictive-control source; indirect to agricultural implementation even if later reviewed.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S05,analytical_primary,Greenhouse climate management: an optimal control approach,1994,,verified replacement,E3,full_text_thesis,fulltext_reviewed,"Doctoral thesis (Wageningen, 1994), Wageningen e-depot copy: Chapter 3 Sec. 3.2.1 (experimental greenhouse, floor area approx. 300 m2); Chapter 7 Sec. 7.2.2-7.2.3 (grower vs optimal control comparison), Fig. 7.1 and Table 7.1 (CO2, energy, ventilation outcomes); Sec. 7.4.2 (sub-optimal feedback/feedforward runs); Sec. 7.5.2 (50 of 57 days simulated, VAX workspace limit); Chapters 8-9 (conclusions and the statement that full-scale comparative experiments remain needed).",greenhouse_microclimate,high,unspecified,low,unspecified,low,"title: 'an optimal control approach' (optimal control not in taxonomy; verify full text) | Full-text audit: Correct bibliographic retrieval route: DOI 10.18174/205106 is recoverable from metadata; no change to control taxonomy without full text. | Full-text audit (pass 3): Plant is greenhouse lettuce with coupled climate, growth, CO2, heating, ventilation, and humidity models. Network is ABSENT: full-text search finds no packet, protocol, wireless, LoRa, ZigBee, networked-control, or communication-delay content, and the 'distribution network' wording in Chapter 3 refers to physical CO2 hoses rather than a data network. Control is centralised economic optimal control with time-scale decomposition, open-loop and feedback/feedforward variants, and a proposed receding-horizon implementation. Evaluation combines experimental model validation with retrospective control simulation. Correct the control label from 'unspecified' to centralised optimal control, and record explicitly that this source carries no networked-control evidence.",high,"Control-performance evidence rests on simulations tied to one experimental 4-span Venlo-type greenhouse with a floor area of approximately 300 m2 and the single 1992 lettuce experiment (Chapter 3 Sec. 3.2.1; Chapter 7 Sec. 7.2.2). The thesis itself states that full-scale comparative experiments are still necessary (Chapter 9), so the evaluation is a single illustrative case rather than a sampled or replicated trial.",high,"Optimal control is compared against the grower's recorded operation under the same measured 1992 outside climate, but both arms are produced through the model and the optimal trajectories were, in the thesis's own words, calculated after the greenhouse experiment had ended using complete knowledge about the outside climatic conditions as well as the auction price (Chapter 7 Sec. 7.2.3). The comparator therefore has a structural information advantage and is not a concurrent physical control arm.",some_concerns,"Comparator outcomes are auditable with units: CO2 consumption, energy consumption, and ventilation per unit area for the grower and simulation runs, plus relative harvest weight and net return (Chapter 7 Fig. 7.1 and Table 7.1). However, these are model-derived quantities without replicate-level uncertainty, and crop quality, fungal disease, and physiological damage are explicitly left out of the criterion (Chapter 7).",some_concerns,"The thesis discloses that although the second greenhouse experiment lasted 57 days, only 50 days were simulated because of limitations in the available workspace on the VAX mainframe (Chapter 7 Sec. 7.5.2), and it reports the integration method and stopping criterion. It does not account for failed optimisation runs, numerical breakdowns, or excluded runs, and the deterministic simulations report no replicates.",some_concerns,"Model equations, parameters, constraints, units, Runge-Kutta integration, and the steepest-ascent optimisation with its stopping rule are reported in detail (Chapter 6 Table 6.1; Chapter 7 Sec. 7.2.2 and 7.5.2), but no code, executable, or raw dataset is supplied. The source is a doctoral thesis examined at Wageningen rather than a peer-reviewed journal article, so it lacks external journal peer-review assurance.",high,The principal grower comparison uses trajectories computed with complete knowledge of future weather and auction price (Chapter 7 Sec. 7.2.3). The sub-optimal feedback/feedforward evaluation additionally sets the one-step-ahead prediction equal to the next measurement in the 1992 data (Chapter 7 Sec. 7.4.2). Both are information assumptions unavailable at prospective decision time.,high,"Locator-backed full-text adapted RoB audit (pass-3 lawful OA retrieval); every quantitative claim was verified verbatim against the cached full text. Reviewed source is a doctoral thesis, not a peer-reviewed article.","Two physical lettuce greenhouse experiments support model calibration and validation, but the optimal-control performance comparisons are retrospective simulations driven by measured greenhouse and weather inputs, not physical deployments of optimal control. Numeric comparator outcomes justify E3, yet they do not establish prospective greenhouse effectiveness. The source is a 1994 doctoral thesis, not a peer-reviewed article.",fulltext_review_complete,pass3_fulltext_audit_2026,2026-08-10
S06,analytical_primary,Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong Delta,2021,10.1007/s13593-021-00705-z,verified replacement,E3,full_text,fulltext_reviewed,"Agronomy for Sustainable Development 41:43 (2021), pp. 3-8: Section 2.1 and Table 1 (design); Sections 2.2.1-2.2.3 (measurement/analysis); Sections 3.1-3.3 and Tables 2-4 (water, energy, yield); Section 4 (limitations/data).",irrigation_outdoor,high,unspecified,low,unspecified,low,"title: 'alternate wetting and drying irrigation for rice ... Mekong Delta' (no named control) | Full-text audit: None; retain outdoor-irrigation and unspecified-control coding pending full text. | Full-text audit (pass 2): Retain irrigation_outdoor. Replace the 'unspecified' control label with IoT-assisted AWD: solar-powered water-level sensing, LoRa transmission, app/cloud monitoring, and remotely triggered irrigation (Section 2.1.1; Figure 2). The full text establishes comparators (manual AWD and continuous flooding) and outcomes for water (m3/ha/crop), irrigation energy cost, and rice yield (t/ha at 14% moisture) (Tables 2-4).",some_concerns,"The trial covers 147 on-farm plots in Can Tho, Tra Vinh, and An Giang: 94 IoT-AWD, 28 continuously flooded, and 25 manual-AWD, with one treatment per farmer (Section 2.1; Table 1). Allocation/randomization is not reported and group sizes are unequal.",some_concerns,"Concurrent comparators (continuous flooding and manual AWD) are specified with plot counts (Section 2.1; Table 1), but infrastructure, field levelling, soil, irrigation autonomy, and AWD adherence differ materially across sites (Sections 2.1 and 3.1-3.2), so co-intervention balance is incomplete.",low,"Farmer crop diaries were validated periodically; yield came from five randomly selected 5 m2 cuts per plot standardized to 14% moisture (Section 2.2.1). Water volume came from pump capacity/duration or IoT irrigation history (Section 3.1). Tables 2-4 report outcomes with units: IoT-AWD saved 13-20% water versus manual AWD, energy savings in Can Tho were 24-25%, and yield differences ranged from -12% to 11%.",some_concerns,"The paper states transparently that experimental-trial results were dropped from the on-farm outcome analysis while retained for the water comparison (Section 3), but it does not quantify missing diaries, withdrawn plots, device failures, or excluded observations among the 147 plots.",some_concerns,"Intervention, sensors, survey, measurement procedures, and statistical analysis are described (Sections 2.1-2.2; Figure 2) and data are available from the corresponding author on request (Section 4), but no plot-level raw data, analysis code, or reproducible device/cloud configuration is included.",low,"The IoT tube measured actual field water level every five minutes and transmitted in real time; users monitored remotely and triggered individual pumps (Sections 2.1.1 and 2.2.1). The evaluated intervention relies on contemporaneous monitoring, not future information.",some_concerns,Locator-backed full-text adapted RoB audit (pass-2 lawful OA retrieval).,"Direct agricultural application evidence: multi-site on-farm rice trials in the Mekong Delta. Highly relevant to IoT-assisted AWD irrigation, but unreported allocation, site-level co-interventions, and missing-data accounting limit causal certainty and generalizability.",fulltext_review_complete,pass2_fulltext_audit_2026,2026-08-10
S07,analytical_primary,Reinforcement Learning versus Model Predictive Control on greenhouse climate control,2023,10.1016/j.compag.2023.108372,verified replacement,E3,full_text,fulltext_reviewed,"PDF pp. 1-9: Section 2 (lettuce greenhouse model), Sections 3.1-3.2 (MPC/DDPG), Section 4 (simulation results), Tables 1-8, Figures 1-8; especially Section 4.1/pp. 5-6 and Tables 4-6/Figures 5-8.",greenhouse_microclimate,high,unspecified,low,hybrid,high,title: 'Reinforcement Learning versus Model Predictive Control on greenhouse climate' (comparison RL/MPC) | Full-text audit: Confirm greenhouse microclimate and hybrid RL/MPC relevance. Qualify any RL-versus-MPC performance claim as simulation-based.,high,"Evaluation uses the employed lettuce greenhouse model as a simulation environment, not a physical greenhouse deployment (Section 2; Section 4; p. 6).",some_concerns,"DDPG and MPC are both specified and compared (Sections 3-4; Tables 4-6), but equivalence of tuning, computational budget, and exploration choices is not fully established.",some_concerns,"Defined simulated outputs, controller actions, economic performance, and computation time are reported (Section 4.3; Figures 6-8; Table 6), but evidence is one model/weather scenario without real-system outcome validation.",unclear,"Training details are stated (Section 3.2), but random seeds, independent repetitions, failed simulations, and exclusions are not reported.",some_concerns,"Network/controller settings and key parameters are reported (Tables 2-5), but no citable code, trained policy, or raw simulation artifacts are identified.",unclear,"Weather disturbance and simulation construction are described (Section 4.1; Figure 5), but a temporal hold-out/tuning-versus-final-test protocol is not documented.",some_concerns,Locator-backed full-text adapted RoB audit.,"Useful direct greenhouse-control mechanism/comparison evidence, but entirely simulated lettuce-model evidence; it does not establish deployed greenhouse, crop-yield, or external effectiveness.",fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
S08,analytical_primary,Reinforcement learning-based model predictive control for greenhouse climate control,2025,10.1016/j.atech.2024.100751,verified original seed,E3,full_text,fulltext_reviewed,"PDF pp. 1-12: Section 2.1 (lettuce greenhouse model), Section 4 (parametrized MPC/RL), Section 5 Numerical experiments (pp. 6-10), Tables 1-8 and Figures 1-10; Section 6 Conclusions (p. 10).",greenhouse_microclimate,high,unspecified,low,hybrid,high,"title: 'Reinforcement learning-based model predictive control' | Full-text audit: Confirm greenhouse microclimate and hybrid RL/MPC coding. State clearly that results are numerical simulations, not deployed outcome evidence.",high,"The paper explicitly validates and compares the framework in simulation (Section 5, p. 6) on a greenhouse model; it calls for future experimental validation (Section 6, p. 10).",some_concerns,"Several comparison approaches are specified and run on the same model (Section 5.2, pp. 7-8; Figures 4 and 6), but comparator tuning/resource parity is only partially transparent.",some_concerns,"One hundred simulated growth cycles and defined performance indicators are reported (Section 5.3; Figures 3-10; Table 7), but no physical validation or independent environmental scenarios are reported.",unclear,"The manuscript reports simulated episodes but does not state independent seeds, repetitions, failed-run handling, or exclusions (Section 5).",some_concerns,"Substantial parameterization and computing setup are reported (Tables 3-6; Section 5), and it states that Python source/simulation results can be provided, but no persistent citable code/data artifact is located in the reviewed paper.",unclear,"The weather profile construction is described (Section 5.1; Figure 2), but no fully specified temporally separated validation protocol is reported.",some_concerns,Locator-backed full-text adapted RoB audit.,"Direct greenhouse climate-control method evidence, but numerical simulation only; claimed superiority should not be generalized to commercial/field deployment without experimental validation.",fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
S09,analytical_primary,Efficient energy management and temperature control of a high-tech greenhouse using an improved data-driven model predictive control,2025,10.1016/j.ecmx.2025.100939,verified original seed,E1,verified_metadata,inaccessible_after_attempts,,greenhouse_microclimate,high,unspecified,low,MPC,high,title: 'improved data-driven model predictive control' high-tech greenhouse | Full-text audit: None; retain title-level MPC coding pending full text.,unclear,No locator-backed full text.,unclear,No locator-backed full text.,unclear,No locator-backed full text.,unclear,No locator-backed full text.,unclear,No locator-backed full text.,unclear,No locator-backed full text.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,"Title indicates high-tech greenhouse temperature/energy MPC, but directness and evidence type require full-text confirmation.",retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S10,analytical_primary,Predictive control for greenhouse temperature and humidity and energy optimization by improved NMPC objective function algorithm,2024,10.25165/j.ijabe.20241705.8241,verified original seed,E3,full_text,fulltext_reviewed,pp.128–136; §2 Materials and methods pp.129–132; Table 1 and Fig.4 p.133; Table 2 and Figs.5–7 pp.133–134; §4 p.135.,greenhouse_microclimate,high,unspecified,low,MPC,high,"title: 'improved NMPC objective function algorithm' greenhouse temp/humidity | Full-text audit: P, C and quantitative simulated E are verified. N is not verified as a communication-constrained/networked-control evaluation; multiple sensor nodes are described but network protocol/performance is not evaluated.",high,One modelled Venlo-type greenhouse and a single low-temperature weather-input scenario; no independent sites/greenhouse configurations were evaluated (§2; pp.133–134).,some_concerns,"MPC and regular NMPC comparators are stated, but matched tuning/solver budget and model-selection protocol are not established (p.133; Table 2; Figs.5–7).",some_concerns,"RMSE/MAE/R² and energy are reported, but outcomes are simulation/reference-model outputs rather than independent physical measurements (Table 1, Table 2, Figs.4–7).",unclear,"No repetitions, random seeds, failed solver runs, exclusions, or missing-data accounting were located (§2–§4).",some_concerns,"Key horizons, initial state and weather ranges are reported (p.133), but raw weather series, WNN training data, code and full reproducibility artefacts are not supplied.",unclear,"The WNN is data-driven, but training/validation/test temporal separation is not reported (§2; Fig.4/Table 1).",high,Locator-backed full-text adapted RoB audit.,Direct greenhouse temperature/humidity simulation evidence; not a deployed networked-control evaluation.,fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
