duplicate_raw_id,duplicate_title,duplicate_doi,duplicate_channel,duplicate_query,retained_raw_id,dedupe_rule,evidence_reason
RAW033,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",10.1109/tssa68467.2025.11303843,existing_core68,CORE68,RAW032,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW032
RAW053,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,10.3390/agronomy15020366,existing_core68,CORE68,RAW045,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW045
RAW054,"Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",10.1109/access.2025.3643617,existing_core68,CORE68,RAW047,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW047
RAW068,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,10.1371/journal.pone.0292971,existing_core68,CORE68,RAW035,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW035
RAW102,Design and Implementation of an Autonomous Intelligent Fertigation System for Cross-Regional Applications,10.3390/act14090413,OpenAlex,Q2,RAW044,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW044
RAW104,"Distributed design of ultra large-scale control systems: Progress, Challenges, and Prospects",10.1016/j.arcontrol.2025.100987,OpenAlex,Q2,RAW080,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW080
RAW113,Self-triggered Control with Energy Harvesting Sensor Nodes,10.1145/3597311,OpenAlex,Q2,RAW017,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW017
RAW118,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment,10.1016/j.atech.2025.101071,OpenAlex,Q3,RAW001,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW001
RAW125,Applications of Artificial Neural Networks in Greenhouse Technology and Overview for Smart Agriculture Development,10.3390/app10113835,OpenAlex,Q3,RAW070,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW070
RAW131,Renewable Energy Integration Into Cloud &amp; IoT-Based Smart Agriculture,10.1109/access.2021.3138160,OpenAlex,Q3,RAW069,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW069
RAW183,A Survey on the Role of IoT in Agriculture for the Implementation of Smart Farming,10.1109/access.2019.2949703,OpenAlex,Q5,RAW140,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW140
RAW186,Energy-Efficient Wireless Sensor Networks for Precision Agriculture: A Review,10.3390/s17081781,OpenAlex,Q5,RAW143,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW143
RAW187,Precision Agriculture Techniques and Practices: From Considerations to Applications,10.3390/s19173796,OpenAlex,Q5,RAW141,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW141
RAW199,The Path to Smart Farming: Innovations and Opportunities in Precision Agriculture,10.3390/agriculture13081593,OpenAlex,Q6,RAW142,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW142
RAW200,A Survey on the Role of IoT in Agriculture for the Implementation of Smart Farming,10.1109/access.2019.2949703,OpenAlex,Q6,RAW140,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW140
RAW201,Precision Agriculture Techniques and Practices: From Considerations to Applications,10.3390/s19173796,OpenAlex,Q6,RAW141,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW141
RAW202,"IoT-Enabled Smart Agriculture: Architecture, Applications, and Challenges",10.3390/app12073396,OpenAlex,Q6,RAW145,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW145
RAW204,Role of IoT Technology in Agriculture: A Systematic Literature Review,10.3390/electronics9020319,OpenAlex,Q6,RAW144,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW144
RAW208,"Digital Twin: Values, Challenges and Enablers From a Modeling Perspective",10.1109/access.2020.2970143,OpenAlex,Q6,RAW156,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW156
RAW218,A Survey on the Role of IoT in Agriculture for the Implementation of Smart Farming,10.1109/access.2019.2949703,OpenAlex,Q7,RAW140,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW140
RAW219,The Path to Smart Farming: Innovations and Opportunities in Precision Agriculture,10.3390/agriculture13081593,OpenAlex,Q7,RAW142,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW142
RAW220,Internet-of-Things (IoT)-Based Smart Agriculture: Toward Making the Fields Talk,10.1109/access.2019.2932609,OpenAlex,Q7,RAW182,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW182
RAW221,Energy-Efficient Wireless Sensor Networks for Precision Agriculture: A Review,10.3390/s17081781,OpenAlex,Q7,RAW143,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW143
RAW223,Role of IoT Technology in Agriculture: A Systematic Literature Review,10.3390/electronics9020319,OpenAlex,Q7,RAW144,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW144
RAW224,"A Survey on Energy Efficient Narrowband Internet of Things (NBIoT): Architecture, Application and Challenges",10.1109/access.2018.2881533,OpenAlex,Q7,RAW157,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW157
RAW226,"IoT-Equipped and AI-Enabled Next Generation Smart Agriculture: A Critical Review, Current Challenges and Future Trends",10.1109/access.2022.3152544,OpenAlex,Q7,RAW205,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW205
RAW227,Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture,10.3390/s19020276,OpenAlex,Q7,RAW059,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW059
RAW228,A Review of Applications and Communication Technologies for Internet of Things (IoT) and Unmanned Aerial Vehicle (UAV) Based Sustainable Smart Farming,10.3390/su13041821,OpenAlex,Q7,RAW146,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW146
RAW229,Security and Privacy in Smart Farming: Challenges and Opportunities,10.1109/access.2020.2975142,OpenAlex,Q7,RAW207,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW207
RAW230,State-of-the-Art Internet of Things in Protected Agriculture,10.3390/s19081833,OpenAlex,Q7,RAW211,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW211
RAW231,"IoT-Enabled Smart Cities: A Review of Concepts, Frameworks and Key Technologies",10.3390/app12031607,OpenAlex,Q7,RAW163,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW163
RAW232,Smart Sensors and Smart Data for Precision Agriculture: A Review,10.3390/s24082647,OpenAlex,Q7,RAW148,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW148
RAW233,"IoT-Enabled Smart Agriculture: Architecture, Applications, and Challenges",10.3390/app12073396,OpenAlex,Q7,RAW145,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW145
RAW234,"Internet of Things in arable farming: Implementation, applications, challenges and potential",10.1016/j.biosystemseng.2019.12.013,OpenAlex,Q7,RAW209,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW209
RAW235,Recent Developments of the Internet of Things in Agriculture: A Survey,10.1109/access.2020.3009298,OpenAlex,Q7,RAW158,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW158
